Title,Developer,Publisher,Release date NA,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
Astérix and the Great Rescue,Core Design,Sega,1994,gg,,3030-10193,10193,0,1993-11-01,https://www.giantbomb.com/asterix-and-the-great-rescue/3030-10193/,,
Ax Battler: A Legend of Golden Axe,Aspect,Sega,March 1992,gg,A spin-off of the Golden Axe series starring Ax Battler.,3030-182,182,0,1991-11-01,https://www.giantbomb.com/ax-battler-a-legend-of-golden-axe/3030-182/,,
Gon: Baku Baku Baku Baku Adventure,SIMS/Minato Giken,Sega,1996,gg,"Japan-exclusive action platformer released by Namco Bandai Games on June 14, 2012.",3030-37757,37757,0,2012-06-14,https://www.giantbomb.com/gon-baku-baku-baku-baku-adventure/3030-37757/,CERO: A,
Batman Forever,Probe Entertainment,Acclaim,"September 4, 1995",gg,Foil the plans of Two-Face and The Riddler as either Batman or Robin in this brawler based on the 1995 film of the same name.,3030-10020,10020,0,,https://www.giantbomb.com/batman-forever/3030-10020/,ESRB: K-A," <div> Overview : Batman Forever is a 2D side-scrolling brawler developed by Probe and published by Acclaim for the Super Nintendo Entertainment System, Sega Genesis, Game Boy, and Game Gear throughout 1995. It was later ported to the PC in 1996.Loosely based on the 1995 film of the same name, up to two players team up as either Batman or his sidekick Robin as they set out to foil the plans of criminals Two-Face and The Riddler.Unlike traditional beat-'em-up games, Batman Forever combines 2D platforming with fighting game controls (in similar vein to Mortal Kombat Mythologies: Sub-Zero). The game features a non-linear level structure (complete with puzzles) and fully-digitized actors.Acclaim also released a second beat-'em-up for arcades in 1996 with the same name. Developed by Iguana, this version was a traditional belt-scrolling beat-'em-up with pre-rendered 3D graphics and faster-placed gameplay. It was released on home consoles as Batman Forever: The Arcade Game. </div>  <div> Gameplay : Players can choose between playing as the Caped Crusader or his sidekick, Robin or can even add a second controller for co-operative play.The fighting aspect of the game resembles the engine for the ""Mortal Kombat"" games, right down to the motion-captured characters and the basic fighting moves (uppercut, high and low punch, etc).Players can also choose what gadgets to bring along in each level, which each gadget having it's own pro's and cons. Arguably, the most useful gadget is the grappling hook, which gets the character to higher parts of the level that couldn't be reached before.The game includes many secrets, such as different hidden gadgets and multiple ""riddles"" from The Riddler himself. </div> "
Batman Returns,Sega,Sega,September 1992,gg,Guide the caped crusader as he fights through hordes of circus performers to foil the plans of The Penguin and Catwoman in this action game based on the 1992 movie of the same name.,3030-9710,9710,0,,https://www.giantbomb.com/batman-returns/3030-9710/,,
Gear Up,Namco,Namco,1992,gg,"Gear Up is an online multiplayer vehicle shooter in development by Doctor Entertainment for PC, Mac and Linux.",3030-39620,39620,0,2015-01-28,https://www.giantbomb.com/gear-up/3030-39620/,,
Battleship: The Classic Naval Combat Game,Mindscape,Mindscape,1993,gg,Battleship is a video game rendition of the popular board game of the same name.  Two players place ships in squares on their sides of the board then take turns choosing squares blindly attempting to locate and destroy the opponent's fleet.,3030-5356,5356,0,1989-12-22,https://www.giantbomb.com/battleship-the-classic-naval-combat-game/3030-5356/,ESRB: E,
Battletoads,Arc System Works,"Tradewest NASega JP, EU",December 1993,gg,Battletoads are back.,3030-68913,68913,0,2020-08-20,https://www.giantbomb.com/battletoads/3030-68913/,, <div> Overview : Battletoads is a brawler developed by DLala Studios and Rare and published by Xbox Game Studios for PC and Xbox One. </div>  <div> System Requirements : PC MinimumPC RecommendedOperating System: Windows 10Processor: Pentium G620Memory: 8 GB RAMGraphics: Nvidia GTX 650 or AMD R7 250xDirectX: Version 11Storage: 15 GB available spaceOperating System: Windows 10Processor: AMD Phenom II x4 965Memory: 8 GB RAMGraphics: Nvidia GTX 650Ti or AMD R7 260DirectX: Version 11Storage: 15 GB available space </div>  <div> External Links : Battletoads Official (Rare) Site </div> 
Beavis and Butt-head,NuFX,Viacom New Media,1994,gg,"Help Beavis and Butt-head find tickets to attend the GWAR concert. The SNES version is a straight platformer, while the Genesis version more closely resembles a PC adventure game with some platforming and action elements.",3030-18248,18248,0,1994-02-16,https://www.giantbomb.com/beavis-and-butt-head/3030-18248/,," <div> Overview : Beavis and Butt-head is a video game adaptation of the MTV animated TV show about a couple of slackers obsessed with heavy metal who apathetically get into and out of random situations in their hometown of Highland, Texas. In the story of the game, they're searching for GWAR tickets and must fight through various stages to recover their torn up pieces.The Genesis version features adventure game elements, with Beavis and Butt-head exploring the world to find the tickets. With the SNES game, the player simply has to make it to the end of each level, fighting enemies and leaping over obstacles.The game was eventually followed by Beavis and Butt-head in Virtual Stupidity for the PlayStation and PC in 1995. </div> "
The Berenstain Bears' Camping Adventure,Realtime Associates,Sega,1994,gg,Help the Berenstain Bears find the way back to their campsite!,3030-19686,19686,0,,https://www.giantbomb.com/the-berenstain-bears-camping-adventure/3030-19686/,,
Bram Stoker's Dracula,Probe Entertainment,Sony Imagesoft,September 1993,gg,"A horror action platformer game based on the movie of the same name, released on a multitude of platforms from 1993 on, developed by Psygnosis, Traveller's Tales, and Probe Entertainment and published by Sony Imagesoft and Psygnosis.",3030-1792,1792,0,1993-01-01,https://www.giantbomb.com/bram-stokers-dracula/3030-1792/,," <div> Overview : Bram Stoker's Dracula is a 1993 video game released as a tie-in based on the Francis Ford Coppola movie of the same name. In the game, the player takes on the role of Jonathan Harker, who must stop the vampire Dracula. Versions of the game were released for a multitude of platforms ranging from the Amiga and NES to the Sega CD and PC.There were numerous variations between each version, though they all played similarly and shared the protagonist Jonathan Harker. </div> "
Bubble Bobble,Open Corporation,Taito,1994,gg,"An early arcade platformer that has 100 levels. Released by Taito in 1986, it was one of the first games to feature two-player cooperative play and multiple endings.",3030-4995,4995,0,,https://www.giantbomb.com/bubble-bobble/3030-4995/,ESRB: E," <div> Overview : Bubble Bobble is an arcade game created by Taito. The arcade version of the game was released in 1986, with console and computer releases coming soon after. The game is a co-op platformer starring twin dinosaurs named Bub and Bob as they travel through one hundred one-screen levels. Bubble Bobble became very popular, inspiring a number of sequels and spin-offs.It was one of the first games to feature two-player cooperative play and multiple endings. </div>  <div> Gameplay : An early levelBubble Bobble follows Bub and Bob as they venture through 100 different levels. The dinosaurs have the ability to blow bubbles, which they capture enemies within. Once an enemy is captured inside of a bubble, Bub and Bob must pop the bubble to defeat the enemy. Once defeated, the enemy will fly off and turn into a tasty treat, which can be snagged by Bub and Bob for points. The object of each level is to eliminate every foe. When one foe remains, they will become enraged and move faster. If Bub and Bob take too long, ghost whales will come and destroy the dinosaurs. Each level consists of one screen with a complex series of blocks. Bub and Bob can jump through thin layers of blocks, as can their enemies. There are two holes on the top of the screen and two holes on the bottom. All characters can travel through these to the opposite side of the screen.There is a large number of enemies, all of which have different traits. The most basic of these enemies is a small, square robot that runs around. Others include witches that create boulders,A level shaped like a characterwhales that bounce around, helicopter blobs, and more. As the game progresses, more enemy types appear in all sorts of locations, and the challenge comes in figuring out how to take out each type of enemy. Some offensive items that will commonly appear are waterfalls and lightning bolts. Waterfalls will sweep up any characters they pass and dump them down the hole. Lightning bubbles will fly horizontally across the screen, shocking anything they touch. There are also powerups that create short bonus rounds, such as one that spreads large cookies over the screen, and the players must gather them before the time runs out. </div>  <div> Powerups : There are a large variety of powerups to collect in the game, and some must be used to safely complete a level. Each one arrives randomly, and many are quite rare.Yellow Sweetie: Bubble firing speed increasesPurple Sweetie: Long range bubblesBlue Sweetie: Increase bubble firing speed across screenRed Ring: Points increase per bubble firedPurple Ring: Added points every jump performedBlue Ring: Added points for every pixel travelled.Red Shoe: Faster movementClock: Timer freezesOrange Umbrella: Skip 3 levelsRed Umbrella: Skip 5 levelsPurple Umbrella: Skip 7 levelsBlue Cross: Flood screen with water killing all enemiesRed Cross: Shoot fireballs instead of bubblesYellow Cross: Lightning flash kills all enemiesBlue Lamp: Gives effect of all three ringsYellow Lamp: Gives effect of all three SweetiesRed Lamp: Gives effect off both Blue and Yellow LampsPurple Lamp: Kills all enemiesBomb: Kills all enemiesBook: Kills all enemiesDiamond Pendant: Stars flood the screen killing all enemiesLightning Potion: Fires Lightning bolts instead of bubblesRed Bracelet: Causes E.X.T.E.N.D Bubbles to appear at next available opportunityWhite Bracket: A Ball bounces around the stage killing all enemiesFlashing Heart: Enemies freeze, dinosaur becomes invincibleCrystal Ball: Causes Item spawn frequency to increaseDungeon Door With Flames: Secret room with hidden messageWooden Dungeon Door: Only Appears on Lv 50. Passageway to lv 70.Skull: Immediately initiates ""Hurry up!""Coloured Potions: Cause enemies to die and the screen to fill with special items which increase score. A timed ""collect as many as you can"" mini game begins.There are many other powerups not listed, most of which increase the player's score, or aid in doing so.  </div>  <div> Taito Bubble Bobble Arcade System : Bubble Buster: A Grey clockwork robot. Moves along the ground and can jump to higher platforms.Coiley: An orange spring robot. Bounces to traverse the stage.Stoner: A white cloaked enemy that moves along the ground and can jump to higher platforms. He Can also fire rolling rocks in the players direction.Incendo: A Fast moving character with limited jump ability. Shoots fireballs in the players direction.Hullaballon: Moves diagonally by floating around the stage. Coloured Pink with a purple propeller.Beluga/Blubba: A purple copy of Baron Von Blubba. Diagonally traversing the stage. Unlike Baron Von Blubba this enemy cannot traverse through walls.Super Socket: A space invader inspired enemy. Behaving as one would expect a space invader to behave.Willy Whistle: A smaller, scalled down, version of Grumple Gromit (Boss). With Fast Movement and high jumping abilities. Can throw beer bottles towards the player which act similar to boomerangs.Grumple Gromit: Giant Boss. Moves diagonally and is only injured by lightning attacks. </div>  <div> Reception : Arcade System Board: Taito Bubble BobbleCPU (Central Processing Unit)Main CPU: 2× Zilog Z80 (6 MHz)Additional CPU: Motorola M6801 (1 MHz)Sound CPU: Zilog Z80 (4 MHz)Sound ChipsYamaha YM2203 (3 MHz)Yamaha YM3526 (3 MHz)DisplayGraphics: RasterOrientation: HorizontalResolution: 256×224 pixelsColor on Screen: 256 (8-bit)Color Palette: 4096 (12-bit) </div> "
Bugs Bunny in Double Trouble,Atod AB,Sega,1996,gg,,3030-8934,8934,0,1996-08-15,https://www.giantbomb.com/bugs-bunny-in-double-trouble/3030-8934/,ESRB: K-A,
Bust-A-Move,Santos,Taito JPSega NA,1996,gg,"First iOS version of the series, with a story mode and Bluetooth vs.",3030-40492,40492,0,2009-08-17,https://www.giantbomb.com/bust-a-move/3030-40492/,,
Caesars Palace,Virgin Games,Virgin Games,1993,gg,Casino simulation for Playstation 1.,3030-39436,39436,0,,https://www.giantbomb.com/caesars-palace/3030-39436/,,
Captain America and the Avengers,Realtime Associates,Mindscape,1993,gg,Captain America and the Avengers is a beat 'em up game first developed for coin-op arcade systems by Data East.,3030-10696,10696,0,,https://www.giantbomb.com/captain-america-and-the-avengers/3030-10696/,," <div> Overview :  Arcade Title ScreenCaptain America and the Avengers is an 1991 Arcade brawler from Data East, later ported to the NES, SNES, Genesis, Game Gear and Game Boy. Data East handled the Genesis version themselves, though the SNES, Game Boy and Game Gear versions were licensed out to Mindscape who contracted Realtime Associates the develop the games. The NES game plays a little differently, more of a standard platformer game, and doesn't have as many playable characters.Taking control of one of the classic (1980s-90s) Marvel Avengers, the player battles their way through five levels in order to prevent Red Skull from carrying out his nefarious plan. The player(s), as either Captain America, Iron Man, Vision, or Hawkeye, fights their way through cities, space, and even underwater. Occasionally other Avengers show up to help the team: Quicksilver by bringing health, Wonderman with a hover craft (for the two Avengers not capable of flight), Namor with a diving suit, and The Wasp becomes an auxiliary attack.Marvel villains Whirlwind, Grim Reaper, Mandarin, The Juggernaut, Crossbones, and, of course, Red Skull all make appearances as well as quite a few others (including what looks like a Sentinel from the X-Men universe). </div>  <div> Gameplay : Each hero has a similar set of abilities. There are two jump attacks (one if the player taps jump and attack, the other for holding jump and then pressing attack), they can dash at enemies to knock them down, a projectile (laser weapons for The Vision and Iron Man, arrows for Hawkeye, and Captain America's shield), and a series of punches and kicks followed by a throw.Iron Man is so lazy.Every couple of levels the brawling action is broken up with side-scrolling shooter sequences. There are three of these: one in space, one underwater, and one in a war-torn city.The levels are two miscellaneous cities, underwater, a secret underwater base, and the moon. </div> "
