Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
Fighter Destiny 2,GenkiOpus CorpAnchor,ImagineerJPSouthPeak Interactive/XicatNA,14-Jul-00,n64,"Returning with a new batch of martial artists, this sequel to Fighters Destiny keeps the unique point-based system and adds a new single-player game mode inspired by board games.",3030-8673,8673,0,7/14/2000,https://www.giantbomb.com/fighter-destiny-2/3030-8673/,ESRB: T," <div> Overview : Fighter Destiny 2 (known in Japan as Kakutou Denshou: F-Cup Maniax, loosely translated to ""Fighting Tradition: F-Cup Maniax"") is a 3D fighting game developed by Genki (in conjunction with Opus) and published by SouthPeak (Imagineer in Japan) for the Nintendo 64 on August 27, 1999 (in Japan) and July 14, 2000 (in the U.S.).Along with enhanced graphics and audio, this sequel to Fighters Destiny replaces most of its roster with a new cast of fighters while adding a new single-player game mode (inspired by board games). </div>  <div> Gameplay : The unique scoring system from Fighters Destiny returns, replacing the traditional round-based system (in which players gain one victory point for either depleting the opponent's life bar or having the most health when the timer depletes) with a unique scoring system in which players must score a total number of points (seven by default) by doing the following:JUDGE (1 pt.) - Dealing the most damage when the time counter reaches the limit (defaulted to thirty seconds).RING OUT (1 pt.) - Knocking the opponent off the arena.THROW DOWN (2 pts.) - Successfully knocking down the opponent (or knocking them off the arena) with a throw.KNOCK DOWN (3 pts.) - Successfully knocking down the opponent with a unique knockdown attack.COUNTER (3 pts.) - Successfully knocking down the opponent with a unique counter-attack (knockdown attacks that can be used to parry non-throw attack).SPECIAL (4 pts.) - Successfully knocking down the opponent with a unique Special Attack (knockdown attacks that can only be used while the opponent is dizzied).When any of the above qualifiers are met, the game resets both fighters back to the middle of the stage and resets the timer back to zero. </div>  <div> Characters : Adriana (Brazilian flamenco dancer)Federico (Italian scientist)D-Dog (American street fighter)Kate (British fashion model)Zeige (German professional wrestler)Dixon (British punk rocker)Fabien (French prince, and the final opponent of Vs. Com mode, unlocked by completing that mode)Mou (Hong Kong fighting cow and opponent of Rodeo Record Attack mode, unlocked by beating Vs. Com with Adriana and then lasting one minute in Rodeo Record Attack)Samurai (Japanese robotic samurai and opponent of Training mode, unlocked by beating Vs. Com with Ninja and then completing Fastest Record Attack in under one minute)Cherry (American crossdressing fighter and opponent of Fighter's Arena mode, unlocked by beating Vs. Com with Pierre and then defeating all 100 opponents in Survival Record Attack) </div> "
The King of Fighters Destiny,GenkiOpus CorpAnchor,Ocean SoftwareNAInfogramesPALImagineerJP,31-Jan-98,n64,The King of Fighters Destiny is a brawler loosely based on the CGI animated series of the same name.,3030-79567,79567,0,5/17/2018,https://www.giantbomb.com/the-king-of-fighters-destiny/3030-79567/,,
Fighting Force,Core Design,Crave Entertainment,30-Apr-99,n64,Fighting Force is a beat-'em-up released in 1997 for the PlayStation.,3030-14996,14996,0,10/31/1997,https://www.giantbomb.com/fighting-force/3030-14996/,ESRB: T," <div> Overview : Fighting Force was released in 1997 for the PlayStation by Core Design, the creators of Tomb Raider. You have four characters to pick from, Hawk, Smasher, Alana, and Mace. They all have pretty much the same moves but each character has different aerial and special moves. You fight through 7 stages, with 22 levels. One memorable feature is the option to tear street posts and railings from their foundations and use them as weaponry. Car trunks can also be hit open to drop numerous other weapons.In structure, the game is a return to the form of classic brawlers like Final Fight. The game implemented the classic mechanics of old-school brawlers where when a certain button is pushed, health is sacrificed to perform a special move. The game, like most brawlers, is pretty much devoid of plot, with the only real purpose to get to the end of the level where the boss is. </div>  <div> Characters : Hawk MansonBen ""Smasher"" JacksonAlana McKendrickMace Daniels </div>  <div> PC Requirements : Pentium 90 (Min.) Pentium 133 (Rec.);Windows 95/98 or ME;4x CD-ROM Drive (Min.) 8x CD-ROM Drive (Rec.);16MB RAM (Min.) 32MB RAM (Rec.);Graphics Card DirectX 5.2 compatible; Optional: Accelerator cards supported;DirectX 5.2 compatible sound card;Mouse & Keyboard; Gamepads & joysticks supported. </div> "
SD Hiryu no Ken,Culture Brain,Culture BrainJPNatsumeNA/PAL,31-Jul-98,n64,"A fighting game from Culture Brain and a spin-off of their Hiryu no Ken (Flying Dragon) series. There were plans to bring the game stateside as ""Galactic Defender,"" but the release was cancelled.",3030-34432,34432,0,6/17/1994,https://www.giantbomb.com/sd-hiryu-no-ken/3030-34432/,," <div> Overview : SD Hiryu no Ken is a 1994 fighting game for the Super Famicom that features 15 different characters, including the hero of the Hiryu no Ken/Flying Dragon series Ryuhi. As the name implies, the characters have super-deformed proportions.The game was also released to the Game Boy as SD Hiryu no Ken Gaiden, and that port would receive a sequel in  SD Hiryu no Ken Gaiden 2. </div>  <div> Characters : Ryuhi: The main character of the Hiryu no Ken series.Min Min: A Chinese female who uses kick-based techniques.Yuka: An Aiki-Jujitsu practitioner who uses whirlwinds to toss her foes.Hayato: A jack-of-all-trades character who sports a gi.Shouryu: A fighter that mixes traditional martial arts with Lucha Libre.Uruka: A hulking, feral fighter.Earthquaker: A mummy that wields a large staff.Wiler: A military man who focuses on hard-hitting strikes.Roseman: A British boxer that can unleash a flurry of punches.Tetsuo: A roughneck who wields a wooden sword.Mainohana: A sumo wrestler.Powers: A professional wrestler with a powerful grappling technique.RAIMA: A fighting robot.Daddy (SFC): A lion with pegasus wings and razor-sharp claws.Jennifer (Gaiden): Daddy's master; a scantily-clad woman who wields a whip.Suzaku: A mysterious villain wearing red armor. </div> "
Forsaken Flesh,Probe EntertainmentIguana Entertainment UK,Acclaim Entertainment,30-Apr-98,n64,Perma-death hardcore platformer game.,3030-80016,80016,0,7/31/2020,https://www.giantbomb.com/forsaken-flesh/3030-80016/,,
Fox Sports College Hoops '99,Z-Axis,Fox Sports Interactive,31-Oct-98,n64,College basketball with Fox Sports coverage. Contains over 250 teams and players.,3030-22752,22752,0,11/23/1998,https://www.giantbomb.com/fox-sports-college-hoops-99/3030-22752/,," <div> Gameplay :   Fox Sports College Hoops '99 gives players a unique TV setup to give players a more realistic feel. The player can choose any two teams to play against in an exhibition. Players can also play a season, which he/her plays as a manager. Multiplayer can have up to two players competing against one another. Seasons contain all college tournaments, and up to 3o players per team.  </div>  <div> Reception : Fox Sports College Hoops '99 received mediocre reviews from critics, who felt that the game was dated compared to contemporary basketball games; the game has received a compilation score of 55.27% from GameRankings. GamePro felt that the game had extremely intelligent artificial intelligence and praised the game overall. IGN's Peer Schneider criticized the arcade-style slowdown that happened during shooting. GameSpot's Nelson Taruc called the game an ""incomplete work in progress"". IGN's Matt Casamassina noted that the game compared poorly against other contemporary basketball titles, such as NBA Jam     </div> "
P.A.S.,KCEO,Konami,29-Sep-98,n64,Post Apocalyptic Show is a 64-person battle royale game show.,3030-69851,69851,0,8/8/2018,https://www.giantbomb.com/pas/3030-69851/,,
Gauntlet Legends,Atari Games,Midway Home EntertainmentNAMidway GamesPALEpoch Co.JP,31-Aug-99,n64,Gauntlet Legends is the first 3D installment in the franchise.,3030-12245,12245,0,,https://www.giantbomb.com/gauntlet-legends/3030-12245/,ESRB: T," <div> Overview : Gauntlet Legends is the first fully 3D game in the Gauntlet series. It expands the number of levels, uses a more birds-eye view with a dynamic camera that follows the player(s), and now its campaign is more focused on its leveling system similar to the quest mode in Gauntlet 4. </div>  <div> Story : A mage named Garm summoned the demon Skorne long ago using the power of thirteen runestones. Skorne wasn't so into the idea of having a master, so he turned on Garm and banished him to the depths of the Underworld. Following that, he scattered the runestones used to summon him across the four realms of the world in an attempt to prevent anyone from gathering them again. Players are thrust into the role of recovering four keys and the thirteen runestones from the different worlds in order to defeat Skorne. The four original characters from the original Gauntlet--Warrior, Valkyrie, Archer, and Wizard--return in Legends. </div>  <div> Gameplay : The combat of Legends revolves around the use of basic ranged attacks, basic melee attacks, magic, and potent power attacks. Each character has their own cosmetic variance of attacks but combat is mechanically similar.Melee and ranged attacks are used at their respective distances. Magic can be used in one of three ways: an explosion of magic going outward from the character, a damaging shield that surrounds the character, or a thrown potion that explodes when it hits the ground. Power attacks can come in three different varieties. The kind of power attack is determined by a meter above the character's section at the bottom of the screen. The meter slowly fills up as the player causes more damage. The first (or green) level attack produces a more powerful version of the character's normal melee attack. The second (or yellow) level attack produces a 360-degree attack. The third and final (or red) level attack produces an indestructible projectile attack that annihilates any enemies in its path. </div> "
Gex 3: Deep Cover Gecko,Crystal DynamicsGratuitous Games,Crave Entertainment,28-Sep-99,n64,"Join smooth-talking gecko/secret agent Gex on his third platforming adventure. This time around, he's tasked with saving the beautiful Agent Xtra from the clutches of his arch-rival, Rez.",3030-20330,20330,0,3/16/1999,https://www.giantbomb.com/gex-3-deep-cover-gecko/3030-20330/,ESRB: E," <div> Overview : Gex 3: Deep Cover Gecko is the third and final game in the Gex trilogy and the second 3D platformer featuring the suave superspy amphibian of the same name. A portable downscaled version of the game, named Deep Pocket Gecko, was released for the GBA later the same year.Gex discovers that his arch-enemy Rez has kidnapped Agent Xtra. A secret agent that he met in Gex: Enter the Gecko. He battles his way through a Batcave-like lair he has in the TV world and begins another adventure. Each level parodies a certain aspect of television culture. Gex enters each level through a television set. He must collect remote controls to advance to the next level in order to complete his mission. </div>  <div> Characters : In this installment of Gex, four new characters are introduced. There's Agent Xtra, a live-action character played by former Baywatch starlet Marlice Andrada, who is kidnapped by Rez. There's also Alfred, Gex's butler. Lastly, Gex's cousins Rex and Cuz come along for the adventure, both of which are controllable later in the game. </div>  <div> Levels : In Gex 3: Deep Cover Gecko, there is an interesting system used to select and play levels. Each level is a parody of a movie or time period and is accessible by entering TVs. The levels include:Holiday BroadcastingMystery TVTut TVArmy ChannelWestern StationBuccaneer ProgramWWGEX WrestlingMythology NetworkFairytales TVAnime ChannelLizard of OzGangster TVSuperhero ShowChannel Z: Spacestation Rez </div>  <div> Regional Differences : Although the American version had Dana Gould continue his role in voicing Gex, the UK and European releases had well-known Red Dwarf actor Danny John-Jules voice the gecko. </div> "
Gex: Enter the Gecko,Crystal DynamicsRealtime Associates,Midway Home EntertainmentNAGT InteractivePAL,1-Aug-98,n64,"A platformer based around exploring various themed worlds in order to find remotes with which to fight Gex's nemesis, Rez.",3030-11371,11371,0,2/24/1998,https://www.giantbomb.com/gex-enter-the-gecko/3030-11371/,ESRB: E," <div> Overview : Gex: Enter the Gecko is a platforming game developed by Crystal Dynamics (console and PC versions) and David A. Palmer Productions (Game Boy Color port). The game was published by Midway Games (Nintendo 64 releases), Crystal Dynamics (US PlayStation release), BMG Interactive Entertainment (UK PlayStation release), Bandai (Japanese PlayStation release), Eidos (US PC release), Square Enix (PlayStation Vita PSone Classics release), and Ubisoft Entertainment (Outside of the US PC releases). </div>  <div> Story : No game is complete without zombiesGex: Enter the Gecko follows the adventures of the bipedal lizard Gex, an old (at this point retired) action game hero who has lost his passion for adventure and has slumped into a state of intense apathy, now spending every waking second watching TV, ordering Chinese food, eating Chinese food, or watching TV while eating Chinese food. After what could be years in this state, Gex's routine is interrupted by Rez, an old arch-nemesis who wants only to annoy Gex and destroy the world by combining the forces of various TV villains and running rampage on the real world. Gex, co-opted by the government and a crowbar is then tasked to go and save the world again.Gex's struggle takes him from old rerun series to old rerun series as he collects TV remotes to try and turn off the plans of Rez. To aid him in his quest Gex can wear special suits to feel more at home in the show he's in and break old TVs to gain powerup bugs that reside inside such as fire and ice breath, 1ups, health pickups, and others. </div>  <div> Gameplay : Gameplay revolved around collecting remotes by completing objectives or reaching the end of a level. These were red remotes that were collected as Gex completed either specific objectives that, when selected from the TV in the hub world Gex would receive a clue for, though any objective could be completed regardless of what hint was chosen. These remotes served a similar function to Mario 64's Power Stars or Banjo-Kazooie's Jiggies.There are also white or silver remotes that are unlocked either by collecting 3 different tiers of items which varied from level to level, but always had some joke attached to them or amusing significance, or by finding the hidden white remote in a level. These remotes unlocked the special stage areas where the player can unlock yellow remotes that when every remote was collected, the ""true"" ending of the game was shown when the player defeats REX in the final boss.The game largely revolved around its 3D platforming. Gex has a variety of moves at his disposal to defeat enemies. Between the spin attack where he would spin his tail around in a sweeping motion, the coil jump which had the added bonus of launching Gex further up (though slowing his forward momentum) and the kung-fu kick which launched Gex forward straight into his enemy but inflicting slightly more damage than a spin kick, Gex was sorted.Camera control and player movement can be controlled with both left and right analog sticks as well as the D-pad and shoulder buttons. Entering a first person mode is done when both shoulders are held. The game also has a Metroid-style password system so that those who could not (or did not) use a memory card could carry over their remote completion over to their next play session. This, however, did not save the number of extra lives. </div>  <div> Game Boy Color Port : Gex features a large selection of levels that were all accessed via a large hub-world. The levels are inspired by different movie genres. Examples:Toon TV: A parody of Looney Toons. Gex, over the course of different levels will turn into an anthropomorphic rabbit character, a large duck, and fight giant cartoon styled enemies.Scream TV: A tongue-in-cheek homage to horror movies. Gex must contend with ghosts, Frankenstein's monster, zombies, mummies, bats, and giant bouncing skulls as he made his way through dressed like Dracula.Sea-Span: Centered around a Titanic-like ship. Exclusive to the N64 version.Circuit Central: A Tron-styled world that, like its inspiration, takes place inside a computer-styled world. There were really annoying floating electric things everywhere.Kung-Fu Theatre: A group of levels which featured a whole pile of ninjas, throwing stars, and giant death traps. Controlled by an evil pig named Mooshoo Pork, who is the boss of the second area.Rocket Channel: A Star Wars/Star Trek-themed level with no regard for subtlety in its references and had Gex dress up like Luke Skywalker.The Pre-History Channel: Tarzan-themed world too that took place in ancient times. Dinosaurs are everywhere, and there was far too much lava. Gex dressed as a caveman. </div>  <div> Reception : The Game Boy Color port of the game features the same stages as the console versions but are much smaller in size. The Game Boy Color port is also played in a 2D side-scrolling style rather than the polygonal 3D platforming of the console versions. </div> "
Glover,Interactive Studios,Hasbro Interactive,16-Nov-98,n64,Glover is a platform game that follows a four-fingered glove with magical powers.,3030-1424,1424,0,10/26/1998,https://www.giantbomb.com/glover/3030-1424/,ESRB: E," <div> Overview : Glover is a 3D platformer developed by Interactive Studios and published by Hasbro Interactive for Nintendo 64, PlayStation, and PC.In 2022 a new PC port was developed by Piko Interactive that was built using the original source code of the Nintendo 64 version. </div>  <div> Story : Glover begins with a wizard's experiment going wrong. The experiment causes an explosion which causes Glover to be thrown off his wearer and the other glove, Cross-Stitch, being thrown into the pot. The explosion has also turned the wizard into stone. Glover is thrown out of the castle by the explosion and the other glove has become corrupted and very evil. Cross-Stitch plans to turn the land into a desolate wasteland, but Glover turns the crystals into balls and must use them to save the land from utter destruction. </div>  <div> Gameplay : In this game, players control Glover and his ball. There are crystals that the player must rescue using Glover's ball. His ball can be transformed to a bowling ball to crush and break things, a bouncy ball to jump higher, a metallic marble to help attacks, and a crystal ball to ride around on. Players can also collect potions in order to fight better. There are also cards called Garribs, that players can collect so they can unlock bonus levels. </div>  <div> Locations : Crystal KingdomAtlantisCarnivalPiratesPrehistoricFortress of FearOUT OF THIS WORLD </div>  <div> Reception : Glover received mixed reviews. Most critics stated that the game was very bland and suffered from awkward controls. The N64 version received positive reviews while the PlayStation port of the game got very negative feedback because the graphics were bad compared to the N64 version as well as other PlayStation games. </div> "
Golden Nugget 64,Westwood Pacific,Electronic Arts,1-Dec-98,n64,,3030-2215,2215,0,12/1/1998,https://www.giantbomb.com/golden-nugget-64/3030-2215/,,
GoldenEye 007,Rare,Nintendo,25-Aug-97,n64,GoldenEye 007 (for the Wii and Nintendo DS) is a re-imagining of the 1997 Nintendo 64 classic of the same name (as well as the 1995 movie it was based off of).,3030-3166,31729,0,11/2/2010,https://www.giantbomb.com/goldeneye-007/3030-31729/,ESRB: T," <div> Overview : GoldenEye now updated for 2010.GoldenEye 007 is a first-person shooter developed by Eurocom and published by Activision for the Nintendo Wii and Nintendo DS on November 2nd, 2010. Released in tandem with James Bond 007: Blood Stone (for the other seventh-generation consoles), GoldenEye 007 is a re-imagining of the 1997 Nintendo 64 Rareware classic of the same name (as well as a looser re-imagining of the 1995 movie GoldenEye). Much of the original game's story and gameplay mechanics have changed, including the portrayal of Daniel Craig as James Bond, switching the setting from the post- Cold War 1990's era to a modern late 2000's setting (in similar vein to other James Bond films starring Daniel Craig), and re-doing the multiplayer component, including online multiplayer for up to eight players (complete with a persistent experience system with unlocks and achievements) as well as the classic four-player split-screen multiplayer.The game was ported to the Xbox 360 and PlayStation 3 and released a year later as GoldenEye 007: Reloaded, revamping the controls and graphics engine while boosting the player limit of online multiplayer to 16 and adding a special challenge mode known as ""MI6 Ops Missions"". </div>  <div> Multiplayer : GoldenEye supports four-player local split screen multiplayer and online play. The online mode supports up to eight players and features a full experience system complete with unlocks and achievements. In local multiplayer, characters from other James Bond films including Francisco Scaramanga, Jaws, and Oddjob are all playable. </div>  <div> Controls : The game includes the following characters from GoldenEye and other James Bond films as playable characters in local multiplayer:OddjobDr. NoErnst BlofeldJawsFrancisco ScaramangaBaron SamediRosa KlebbRed GrantJames BondNatalya SimonovaXenia OnatoppGeneral OurumovDmitri MishkinAlec TrevelyanZukovskyAs in the Nintendo 64 version, there is a long list of playable minor characters and minions such as: Slav, Hazmat, Soldier, Pilot, Security, Sky Briggs, Red-one, Red-four, Red-five, Red-nine, Pvt. Gurov, Pvt. Harkov, Pvt. Shkadov, Pvt. Kozmin, Jones, Davis, Smyth, Adams, Two-Two, Two-Four, Two-Six, Two-Seven, Sgt. Glebov, Sgt. Baikov, Sgt. Chzov, Sgt. Drashev, Five-One, Five-Two, Five-Three, Five-Four, Vincent, Boris, Allonso, Sgt. Morozov, Sgt. Zotkin, Sgt. Udalov and Sgt. Shubkin. </div>  <div> Bundle with Gold Classic Controller Pro : The Wiimote and Nunchuk control scheme is fully customizable and the Classic Controller control scheme allows for dual analog First Person Shooter controls. The Gamecube Controller is also usable, also allowing dual analog movement. </div> "
GT 64: Championship Edition,Imagineer,Infogrames UKPALOcean of AmericaNAImagineerJP,31-Aug-98,n64,GT 64: Championship Edition is a racing video game for the Nintendo 64 based on a japanese game. It is an official licensed game to All-Japan GT Championship.,3030-34874,34874,0,9/9/1998,https://www.giantbomb.com/gt-64-championship-edition/3030-34874/,,
Harvest Moon: One World,Victor Interactive Software,Pack-In-SoftJPNatsumeNA,22-Dec-99,n64,A 2021 release in the Harvest Moon series.,3030-78442,78442,0,3/2/2021,https://www.giantbomb.com/harvest-moon-one-world/3030-78442/,ESRB: E,
Hercules: The Legendary Journeys,Player 1,Titus Software,16-Nov-00,n64,"Largely reminiscent of Ocarina of Time, the game plays like a Zelda-lite adventure. Due to a combination of this, goofy dialogue, and a variety of technical issues; the game is not remembered fondly.",3030-10682,10682,0,11/16/2000,https://www.giantbomb.com/hercules-the-legendary-journeys/3030-10682/,," <div> Overview : Hercules: The Legendary Journeys is a Nintendo 64 and Game Boy Color game from Titus (based on the hit television show). It centers around one of the most popular Grecian myths, that of Heracles, or, as he is better known, Hercules. The game involves a combination of skirmishes with random enemies and bosses, elementary puzzles, and numerous trading sequences and side quests similar to the ones found in Legend of Zelda: Ocarina of Time. The player can also play as two of Herc's friends, Lolaus and Serena (or the Golden Hind, as the half woman, half horse character is referred to in the game): they each have their own unique attacks and weapons. Legendary Journeys is known to have many bugs and technical issues (alongside its clunky controls) that make the game frustrating and unnecessarily difficult in numerous places. This game proved to be another high profile failure for the once beloved Titus as it continued to plunge deeper into the territory of poorly developed action/adventure games; directly following the release of the critically-despised Superman 64. </div>  <div> Playable Characters : Though Hercules is the primary player character, the player does take control of Lolaus and the Golden Hind during certain moments of the game. Each of these characters have a unique control scheme; unfortunately, perhaps due to a lack of care in the game's development, the other two characters are both exceedingly difficult to control and considerably weaker than Hercules. Nonetheless, the character's attributes are listed below: Hercules - The strongest and most primarily used of the characters, Hercules' primary attack is the punch by way of pressing the B button. Upon holding the B button, Hercules can also use a ""super punch"" that does greater damage and can be used to break through weakened walls. Furthermore, although all characters will stun enemies after a certain number of hits (bosses excluded), Hercules is the only character capable of picking up and throwing enemies; instantly killing both the enemy and any other enemies with which the thrown one makes contact. Furthermore, Herc is the only character that can purchase potions from the tavern owner (who exists in all of the game's towns) that unleash lavish special attacks centered around four elements: earth, fire, lightning, and ice. The earth potion drops rocks from the sky upon his unexpecting enemies; the fire potion unleashes burning balls of molten lava upon Herc's adversaries; the lightning potion performs a similar attack by way of giant, thundering lightning bolts; and the ice potion temporarily freezes one's foe(s). These potions are accessed via the C buttons. Although Hercules is the most overpowered of the game's characters, his portions can be nonetheless difficult to play due to a weak camera and the lack of a lock-on system.Iolaus - The sidekick of Hercules, Iolaus is useful as the only character in the game capable of climbing vines (which have an odd graphical similarity to those in Ocarina of Time). However, once he has climbed said vines and reached whatever dangers await him at the top, he is faced with the difficulty of fighting with his exceedingly underpowered staff (perhaps he is Herc's sidekick for a reason, eh?). Iolaus is also useful in one instance in which the snowy alps can only be crossed by a body small enough to fit into the only available winter coat. Iolaus cannot leave any of his designated playable areas however, if the player tries, they are met with the message: ""Perhaps I should let Herc take care of this.""The Golden Hind - Though christened Serena in the television series, the game (for some unbeknownst reason) refers to her as The Golden Hind. This lady Centaur is, in fact, the weakest of the three characters. The Hind's only method of attack is the shooting of her arrows, done in a first person mode. Although the arrows can be shot in the standard third-person perspective, they are guaranteed to strike nothing unless the enemy lies directly in front of the Hind. The first-person mode is troubling however, as the controls are so unbearably clunky and difficult to use that the player will have almost certainly lost a considerable amount of health by the time he/she was even capable of training his/her sights upon his/her adversaries. Fortunately, The Golden Hind also has the smallest amount of game time between the three characters; and, like Lolaus, is restrained to her respective areas with a message identical to his. </div> "
Hexen,Raven SoftwareSoftware Creations,id Software/GT InteractiveNA/PALGamebankJP,31-May-97,n64,"A fantasy first-person shooter that builds upon its predecessor, Heretic, by incorporating three character classes, multi-level puzzles, and eight-player network play.",3030-22548,22548,0,10/30/1995,https://www.giantbomb.com/hexen/3030-22548/,BBFC: 12," <div> Overview : Hexen (sometimes known as HeXen: Beyond Heretic) is a fantasy first-person shooter developed by Raven and published by id on October 30, 1995 for the PC. It is the second game in the Serpent Riders trilogy (between Heretic and Hexen II). The story takes place in the realm of Cronos, which was overtaken by the Serpent Rider Korax. The player controls one of three heroes ( Baratus the Fighter, Parias the Cleric, or Daedolon the Mage) as they set out to destroy Korax.The game builds upon the same engine used in Heretic (which uses a heavily-modified id Tech 1, the same engine used in Doom). In addition to the modifications found in Heretic, Hexen also includes jumping, multiple classes, rotating/moveable walls, weather effects, a level scripting system, CD audio, FMV cutscenes (for the CD version only), eight player multiplayer, and a system of interconnected levels (called ""hubs""). The source code for this engine was released twice: one in 1999 under a restrictive license and one in 2008 under the GNU General Public License.The game was published for the Mac in 1996 by GT Interactive (who also oversaw distribution of the PC version). In early 1997, the game was ported to the Nintendo 64, PlayStation, and Sega Saturn (all which were published by GT Interactive). The Nintendo 64 version, ported by Software Creations, includes split-screen multi-player ( for up to four players) and text narratives in the loading screens of each level (describing each level). The PlayStation and Sega Saturn versions were ported by Probe, and includes graphical restrictions (less detailed architecture, less monster sprites, etc.) and lower frame rate. The PlayStation version does not support multi-player, while the Sega Saturn version includes two-player link-up multiplayer only accessible via a hidden cheat code. </div>  <div> Characters : Hexen was one of the first first-person shooters to let the player choose between one of three unique classes, each with their own unique attributes, weapons, and item effects. </div>  <div> Gameplay : Tougher and more agile than the other classes, the fighter specializes in melee combat. His only weakness is his lack of ranged attacks.Spiked Gauntlets - The fighter's starting weapon. Deals three powerful punches in quick succession at very close range.Timon's Axe - Its power and effectiveness is determined by how much blue mana the hero has. Although blue mana is not needed to swing the weapon, blue mana is required for a powerful electric swing.Hammer of Retribution - On close range, it's slow and does great damage. But if the hero has green mana, the hammer can fire an exploding projectile, making it an ideal long-range weapon for the class.Quietus - A big sword surrounded by green flames. Throws five green fireballs across the screen in a single swing. Uses up both green and blue mana and cannot be used like a melee weapon. </div>  <div> Deathkings of the Dark Citadel : Despite the class name, the cleric does not heal others. A balanced character with a lot of specialized weapons.Mace of Contrition - Although it is less powerful than the fighter's spiked gauntlets, this mace has a longer range.Serpent Staff - Uses blue mana for two purposes. At long range, it fires two green fireballs in a wave that, while weak, deals poisonous damage. At short range, it drains the health of the opponent, healing the hero in the process.Firestorm - Uses green mana to shoot a streak of fire from the hero's hands across a set distance, causing explosion damage in the process.Wraithverge - Uses both blue and green mana to fire a gray cloud that immediately splits into four powerful ghosts. Shrieking, these fast ghosts lock in to enemies and drain a lot of damage before moving on to the next enemy. (Or disappearing once the attack is over) </div> "
"Hey You, Pikachu!",Ambrella,Nintendo,6-Nov-00,n64,"Using a microphone attachment for the Nintendo 64, called the Voice Recognition Unit (VRU), guide Pikachu as he goes about his daily tasks, including activities such as cooking, fishing, and babysitting.",3030-17113,17113,0,12/12/1998,https://www.giantbomb.com/hey-you-pikachu/3030-17113/,ESRB: E," <div> Gameplay : The game begins with the player being given a device (the VRU) by Professor Oak which allows them to communicate with Pokemon, they then use the device to communicate with and befriend a wild Pikachu. The player then goes on a series of daily adventures with Pikachu such as fishing, gathering food in a forest for a feast with other wild Pokemon, or just exploring a large field of flowers. At the end of each day the player receives ""Pika Points"" from Pikachu, a currency which can be used to buy items, such as new toys, from Abra. After 1 year (365 days) worth of days, Oak again appears, telling the player they must release Pikachu (who has come to live in the player's home) as he is a wild Pokemon. After a series of goodbyes, Pikachu is left in the forest as the player returns home. However, the next day, Pikachu comes back; now living in the forest, but returning to adventure with the player each day. </div>  <div> Trivia : If the player of Hey You, Pikachu says ""Playstation,"" Pikachu will become angry at the player.Hey You, Pikachu was the only game released in the US to use the VRU. </div> "
Hot Wheels: Turbo Racing,Stormfront Studios,Electronic Arts,31-Aug-99,n64,"Hot Wheels Turbo Racing is a racing game for the PS1 and N64. Players can perform stunts while in the air on the game's many jumps to earn turbo, which allows them to unlock shortcuts and secrets around the tracks.",3030-4388,4388,0,8/31/1999,https://www.giantbomb.com/hot-wheels-turbo-racing/3030-4388/,,
