Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,description,game_rating
Alfred Chicken,Twilight,Mindscape NA/EUSunsoft JP,February 1994,gb,Alfred Chicken is an action platformer on the Sony PlayStation.,3030-26041,26041,0,2002-04-12,https://www.giantbomb.com/alfred-chicken/3030-26041/," <div> Overview : Alfred Chicken is an updated remake of the original Alfred Chicken on the Amiga. While the basic gameplay is the same as the original, this update features new polygonal graphics, brand new levels, and an updated CD quality soundtrack. </div> ",OFLC: G
Alien vs Predator: The Last of His Clan,ASK Kodansha,ASK Kodansha JPActivision NA,November 1993,gb,The portable version of the SNES side-scroller based on the popular franchise.,3030-9498,9498,0,,https://www.giantbomb.com/alien-vs-predator-the-last-of-his-clan/3030-9498/," <div> Overview : Alien vs Predator: The Last of His Clan is a side-scrolling action game developed by ASK Kodansha and published by Activision for the Game Boy. In Japan the game was published by ASK Kodansha. </div>  <div> Critical Reception : Electronic Gaming Monthly's Mike Weigand gave the review score of 6 out of 10, writing, ""As if the one for the Super NES wasn't enough, here comes the portable version. Unfortunately the game plays like it should be on a bigger format, like the 16-bit maybe. All the action is confined on the tiny litle GameBoy screen and there needs to be more responsive control"". </div> ",
Alien³,Bits Studios,LJN NA/EUAcclaim Japan JP,January 1993,gb,An action game from Acclaim based on the 1992 David Fincher movie. The player assumes the role of Ripley as she explores the prison planet of Fury 161.,3030-14356,14356,0,,https://www.giantbomb.com/alien3/3030-14356/," <div> Overview : With the release of the Alien 3 film several games were released to tie into the film. With the Super Nintendo and Genesis as the leading platforms the game was built and ported to other systems, including the Commodore 64 and Game Gear. The games are set on the world of the film, Fury 161, but the gameplay actually has more in common with the film Aliens, throwing wave after wave of enemies at the player. Whereas in Alien 3 there was only one xenomorph.The video game versions (except the Nintendo Entertainment System) were praised at the time of its release for not sticking with the lack of guns and multiple aliens in the film, which was the film's most criticized aspects. </div>  <div> SNES Version : The SNES version had varied missions to complete.In the SNES version, Ripley begins the game in a corridor where she can operate a computer terminal which gives her access to various missions. Missions have Ripley completing objectives such as destroying groups of eggs, fixing pipes or junction boxes, isolating rooms, killing Alien Queens or rescuing trapped inmates. Completing these missions leads to the game's ending, which is closer to the movie than the other versions. Like most versions of the game, the SNES version was liberal with the material, generating waves of enemies to combat.Unlike the other versions of the game, health, ammo and enemies respawn during the levels.There are 6 levels in total, each having a range of missions in them. Since completing a level takes around half an hour to an hour, the levels can be accessed via a password system.The soundtrack is inspired on that of the film's, unlike the Genesis's more action game music. Complex orchestrations delivered by the SNES's sound chip accompany the game to give it a movie-like feeling.The graphics are also superior, having rich detail in the backgrounds and effects like smoke and rain occurring in parts of Fury 161. Ripley and her enemies have smooth animations and there are lighting effects on the scenery and/or the objects when using a flame thrower in egg rooms or closing a door.The SNES version was released after the movie, therefore it doesn't contain any deleted scenes or scenery present at the time of the other versions' developments. </div>  <div> Genesis Version : The Genesis version was a slightly different case. Instead of missions in a large, persistent area, the game uses stages (or levels) like many other platformers of the time. The majority of these see the player fighting their way through hordes of Aliens in order to rescue prisoners before the timer runs out. When the timer does run out, the player is show a scene of each of the remaining prisoners giving birth to a chestburster Alien. In addition to these rescue missions, there are other mission instances. Every few missions the player must fight a boss alien (and in the games finale, two at once) and occasionally, the player will have to rescue lots of prisoners, without interference from Aliens. As well as the opposite, having to shoot lots of Aliens and reach the exit without needing to rescue prisoners.Rescue the prisoners as fast as possible, before this happens.The game consists of roughly 20 missions, each increasing in difficulty and features several different locations from the movie (such as the prison grounds, the lead works, the slaughter house, the Alien nest, etc) and features a number of weapons commonly seen in the franchise (but ironically, none of which were seen in the actual film) the pulse rifle, flamethrower, grenade launcher and hand grenades.In addition to this, the player is given health and battery pickups. The battery pickups allow the motion tracker in the top right hand corner of the screen to work for a short time, but once the battery has run out it reverts to being blank again until the player picks up another battery. Enemies include the ubiquitous Alien, as well as much later in the game Eggs and Facehuggers, in addition to the larger boss Aliens.Since the movie was subject to various creative inputs due to a lack of consent over the final script, many things were scrapped but some remained in the video game, such as the abattoir level (which is present in the recent Alien 3 Assembly Cut) and the fact that Ripley survives in the end. </div>  <div> Master System, Game Gear, Amiga and Commodore 64 Versions : The Master System and Game Gear versions are very similar to the Genesis version, the first few levels are exactly the same but with a major graphical downgrade. The player has access to largely the same arsenal of movements and weapons, as well as having a countdown clock and prisoners to rescue. Beyond the first few levels, they begin to differ slightly, but not much from the Genesis version of the game.The Commodore 64 version follows the same principle and scenery of the Genesis game, but with altered level design.The Amiga version looked and played similar to the Genesis version in terms of graphics but the player had to choose either to play the music or sound effects but not both. </div>  <div> NES Version : The NES version was developed by LJN LTD, and featured a drastically different visual style as well as gameplay mechanics. The graphics are indistinct, the Alien creatures appear to be vague shapes of solid color and the game world itself features a lot less detail than that of the Master System, or other versions. The game features a large HUD which occupies the bottom portion of the screen and displays information such as remaining ammunition. The game's sound effects were also a much lower quality than that of other versions. The game featured a variety of different mission locations taken from the film, and like the other versions the main objective throughout the game is to rescue prisoners on each level before proceeding to the exit.Though seen as a mediocre game at the time of its release, the game has been heavily criticized as time went by. </div> ",
All-Star Baseball '99,Realtime Associates,Acclaim,May 1998,gb,The first game in the All-Star Baseball series.,3030-19311,19311,0,1998-04-30,https://www.giantbomb.com/all-star-baseball-99/3030-19311/, <div> Teams : Anaheim AngelsArizona DiamondbacksAtlanta BravesBaltimore OriolesBoston Red SoxChicago CubsChicago White SoxCincinnati RedsCleveland IndiansColorado RockiesDetroit TigersFlorida MarlinsHouston AstrosKansas City RoyalsLos Angeles DodgersMilwaukee BrewersMinnesota TwinsMontreal ExposNew York MetsNew York YankeesOakland A'sPhiladelphia PhilliesPittsburgh PiratesSaint Louis CardinalsSan Diego PadresSan Francisco GiantsSeattle MarinersTampa Bay Devil RaysTexas RangersToronto Blue Jays </div> ,ESRB: E
Alleyway,Intelligent Systems,Nintendo,"July 31, 1989",gb,A Breakout/Arkanoid clone for the Game Boy featuring a tiny Mario as the pilot of the paddle. It was one of four launch titles for the Game Boy.,3030-4381,4381,0,1989-08-15,https://www.giantbomb.com/alleyway/3030-4381/," <div> Overview : Alleyway is a puzzle action game and one of the four original games released as Game Boy launch titles in the Japan and also later as a launch title in both Europe and America.The developer of the game is not known with 100% certainty as the game is credited to both Nintendo R&D1 and Intelligent Systems Co., Ltd.; the latter claiming credit for the game on their corporate website without delving into any further details. The fact that Intelligent Systems is often cited as having spun off from R&D1 adds additional confusion and so it is hard to identify who exactly developed the game without further information being revealed.Alleyway is referred to as a Block Kuzushi game in its Japanese box art, which isn't so much a franchise of its own than a title applied to any Japanese game that contains Breakout's ""ball and paddle"" gameplay.  </div>  <div> Gameplay : Players experienced with such games as Breakout and Arkanoid, will be very familiar with the concept of Alleyway: the player controls a small paddle with the aim of hitting a constellation of bricks with a ball. Each brick disappears once hit with the ball and the goal is to ensure the whole screen is devoid of bricks. Once this is achieved the player then moves onto the next level which becomes that little bit harder to clear. After clearing all of the games 32 stages (24 basic and 8 bonus) the game ends.The general structure of the game is that the game is split into 8 sets of 4 rounds with each round having its own distinct take on the goal of clearing the screen of all blocks. The first round of the set is always a simple Breakout clone albeit with the occasional different layout of the blocks on the screen. The second round features the same layout of the screen except that bricks now move horizontally across the screen and when the ball comes in contact with the back wall of bricks the players paddle shrinks to half its size. The third round sees the bricks progress downwards towards the bottom of the screen every time the ball hits the paddle a set number of times. The additional challenge now becoming a Space Invaders like game in that the player must clear the screen of all bricks before they reach the bottom of the screen. The fourth stage of a set is a bonus stage in which the ball rather than being deflected upon hitting a brick keeps charging through clearing all the bricks in passes through. Players are given a time limit to clear the stage which if met awards a large score boost that will almost grant players enough points for an additional life.Should the ball drops below the paddle the player will lose a life, and once all the lives are gone the player must restart from the beginning.The game also features a cameo from Mario who can be seen entering the paddle upon starting a new game, and every time the player loses a life he appears to jump ship before facing almost certain doom. There were a few other Nintendo subtleties thrown in such as the cameo of certain famous faces each time a bonus stage rolled around as the brick layouts are structured to look like the given character. </div> ",ESRB: E
Altered Space: A 3-D Alien Adventure,Software Creations,Sony Imagesoft NAEpic/Sony Records JPHi Tech Expressions EU,September 1991,gb,Altered Space: A 3-D Alien Adventure is an isometric view puzzle game.,3030-34509,34509,0,,https://www.giantbomb.com/altered-space-a-3-d-alien-adventure/3030-34509/,,
Penguin,Natsume,Natsume,December 1990,gb,A penguin-themed racing game for GameKing.,3030-78667,78667,0,,https://www.giantbomb.com/penguin/3030-78667/,,
The Amazing Spider-Man,Rare,LJN NANintendo EU,July 1990,gb,"Announced at NYCC 2011, The Amazing Spider-Man game is an original story told after the 2012 movie. The console versions are developed by Beenox, the company that created Shattered Dimensions and Edge of Time while the DS version was developed by Other Ocean Studios.",3030-36687,36687,0,2012-06-26,https://www.giantbomb.com/the-amazing-spider-man/3030-36687/," <div> Overview : Alistair Smythe, the main villain of the game.The Amazing Spider-Man takes place after the events of the 2012 Sony movie reboot of the franchise, and features a return to the open world elements of the past Spider-Man movie games. After Peter Parker becomes Spider-Man and defeats The Lizard, Oscorp, under the leadership of a new CEO named Alistair Smythe, begin to clear up the Cross-Species experiments Curt Connors left behind during his time there. However one night, as Gwen Stacy gives Peter a tour around the facility, the Cross-Species experiments break out, infecting Gwen and a number of Oscorp scientists with a deadly plague that begins to spread about New York City. Spider-Man breaks the now cured Curt Connors out of the mental institute he resides in, being branded a criminal in the process, in order to create a cure to save the city. Smythe begins to send out armies Drones designed to hunt down the escaped Cross-Species monsters (including versions of Spider-Man villains such Rhino, The Scorpion and Iguana), including Spider-Man himself, whose hybrid DNA also makes him a target. </div>  <div> Gameplay : Web Rush Mode, when activated.For the first time since Spider-Man: Web of Shadows, The Amazing Spider-Man returns to featuring Manhattan as an open world sandbox for Spider-Man to swing around in, stopping random crimes, collecting comic book pages - which, once a certain amount are collected, unlock digital copies of famous issues of Spider-Man comics throughout history, including Amazing Fantasy #15, Spider-Man's first appearance - and taking photos to unlock bonus costumes. Apart from web-swinging, the open world also utilizes a new Traversal mechanic called Web Rush, which slows down time and pulls the camera into a first person perspective, highlighting different areas Spider-Man can zip-line to. Web Rush can also be used in combat to highlight enemies Spider-Man can zip to, or objects he can interact with to take out multiple targets at once.Combat itself is akin to the systems found in the Rocksteady Batman games, with spider-man chaining combos and dodges using his spider-senses in order to be able to pull off powerful and acrobatic finishing moves. Through these combat encounters Spider-Man gains experience which can be used to level up, unlocking extra skills or modifying the strength of his current ones. </div>  <div> Voice Acting : Unlike past Spider-Man movie titles, The Amazing Spider-Man does not use the cast from the movie to voice its characters. Sam Riegel plays the part of Spider-Man, with Kari Wahlgren playing Gwen Stacy and Steven Blum as Doctor Connors. Ali Hillis makes an appearance as the Black Cat, and Nolan North voices main villain Alistair Smythe. The game also features voicework from Bruce Campbell in a cameo role as an extreme sports reporter, in the vein of his previous cameos in Spider-Man games, as well as voicework from Stan Lee in a pre-order bonus mission pack. </div>  <div> Collectable Comic Books : The game also features 500 comic book pages to collect, which in total unlock 10 digital comics to read:5 Pages Collected - Amazing Fantasy #15 (First Appearance of Spider-Man)15 Pages Collected - Amazing Spider-Man #6 (First Appearance of The Lizard)30 Pages Collected - Amazing Spider-Man #630 (First comic in The Lizard 'Shed' storyline)50 Pages Collected - Amazing Spider-Man #41 (First Appearance of Rhino)80 Pages Collected - Amazing Spider-Man #19 (First Appearance of Scorpion)125 Pages Collected - Amazing Spider-Man #194 (First Appearance of Black Cat)175 Pages Collected - Amazing Spider-Man Volume 1 #294 (Part of the 'Kraven's Last Hunt' event, featuring Vermin)250 Pages Collected - Spectacular Spider-Man #32 (First Appearance of Iguana)350 Pages Collected - Amazing Spider-Man #31 (First Appearance of Gwen Stacy)500 Pages Collected - Amazing Spider-Man Annual Volume 1, #19 (First Appearance of Alistair Smythe)Players who got the Stan Lee Adventure Pack also receive a bonus issue for completing the DLC, appropriately titled 'Excelsior!'. </div>  <div> Pre-Order Bonuses : Stan Lee starring as himself in the Stan Lee Adventure Pack.Players who pre-order the title from Amazon for the Xbox 360 or PlayStation 3 will receive the Stan Lee Adventure Pack. Voiced by himself, Stan Lee is the playable character, swinging through New York City with Spider-Man's powers, looking for pages of his latest script.Also available was a pre-order bonus was a challenge pack allowing players to play as Rhino rampaging throughout the streets of Manhattan. </div>  <div> Wii U Version : A Wii U version of The Amazing Spider-Man has been announced for release in Spring 2013. This version will include all previously released DLC packs and feature optional motion and touch controls, such as charting a path through the city via GPS. </div>  <div> PC System Requirements : Minimum:OS: Windows® 7/XP (SP 3)/Vista (SP 2)Processor: Intel Core® 2 Duo 2.6 GHz or AMD Athlon 64 X2 6000+Memory: 3 GB RAMGraphics: NVidia Geforce 7600GT / AMD ATI Radeon X1800 GTODirectX®: 9.0cHard Drive: 7500 MB HD spaceSound: Any DirectX 9.0 compliant Sound CardAdditional: Internet connection required for installation and authentification.Recommended:OS: Windows® 7/XP (SP 3)/Vista (SP 2)Processor: Intel Core® 2 Quad 2.4 Ghz or AMD Athlon II X4 2.6 GhzMemory: 3 GB RAMGraphics: NVidia 8800GT / AMD ATI Radeon HD4830DirectX®: 10Hard Drive: 8000 MB HD spaceSound: Any DirectX 9.0 compliant Sound CardOther Requirements: Broadband Internet connectionAdditional: Internet connection required for installation and authentification. </div> ",ESRB: T
The Amazing Spider-Man 2,Bits Studios,LJN,August 1992,gb,A Beenox-developed sequel to the open world web-slinging game. High Voltage Software developed the 3DS version.,3030-44217,44217,0,2014-04-29,https://www.giantbomb.com/the-amazing-spiderman-2/3030-44217/," <div> Overview : The Amazing Spider-Man 2 is Beenox Studios' open world video game adaption of the movie with the same name and scheduled to be released April 29, 2014 to coincide with the box office release later the week. The game will be available for Playstation 4, Wii U, PC, Xbox 360, Xbox One, and PS3.Initially, an Xbox One version of the game was put ""on hold"" indefinitely, but managed to release digitally along with the rest of the versions. </div> ",ESRB: T
Amazing Tater,Atlus,Atlus,February 1992,gb,Amazing Tater is the sequel to Kwirk and sees another walking food item pushing blocks and committing suicide when a puzzle is made unwinnable. It is an early Atlus release and was known as Puzzle Boy II in Japan.,3030-14989,14989,0,,https://www.giantbomb.com/amazing-tater/3030-14989/," <div> Overview :  Title screen.The sequel to the video game Kwirk, Amazing Tater has the player guiding a potato through a maze. However things are not as simple as they may sound, the player faces many obstacles that block their goal. There are crates that need to be pushed out of the way or into holes in order to move in the maze. Also one must consider the fact that since there are crates and holes in several different shapes and sizes. As a result the player has to plan their every move. Further complicating things, many levels contain different types of spinning doors.  </div>  <div> Gameplay Modes :  Spud in ACTION MODE.Beginners Mode- This mode functions as a tutorial where all of the basic concepts of the game are explained.Practice Mode- The player decides how big they want their maze to be, but the levels are then randomized before playPuzzle Mode- The player must solve 40 puzzles and is scored according to how quickly they finished the puzzle.Action Mode- Same as puzzle Mode, but this time the player can play through one of two stories. </div> ",
Animaniacs,Factor 5,Konami,July 1995,gb,"A licensed platformer game released for both the SNES and the Genesis systems. Both games, although fairly different, allows the player to switch between the Warner Brothers (and Warner Sister) at will in order to overcome obstacles.",3030-3674,3674,0,1994-05-14,https://www.giantbomb.com/animaniacs/3030-3674/," <div> Overview : Animaniacs is a platforming game released by Konami on the SNES and Genesis consoles. Although they share some similarities, the two games are quite different. The SNES version of the game allows for the player to switch between the three characters, Yakko, Wakko and Dot, at will. There are no actual ""lives"" in this game: the game ends when every character is captured. Also, the characters move left, right, up and down, similar to the Final Fight series of games but dissimilar to many other platformer games. The game's goal is to retrieve the lost pages of a script stolen by Pinky and The Brain, in order to stop their attempt to ""try and take over the world"". Each level has many references to and parodies of different films, such as Indiana Jones.The Genesis version is different from the SNES version and shares more similarities to a normal platformer game. This game has some elements of The Lost Vikings games, in that each character has a special trait that must be used to overcome obstacles in each level: for example, Yakko can push heavy objects, Wakko can use his hammer to break blocks, and Dot can use her charm (""air kiss"") to stop male characters obstructing the level. Each level is a parody of a different movie genre and can be played out of order (non-linear, much like the Mega Man series). The goal of the game is to retrieve stolen artifacts from movies so as to, yet again, stop Pinky and the Brain from taking over the Warner Brothers studio and the world.Both games are also tongue-in-cheek in nature, often having various references to popular films and even fourth wall moments. Specifically, the beginning cutscene of the Animaniacs game for Genesis has the characters talking about themselves being in a video game (and ""welcoming"" the player to the game). </div> ",
Arcade Classic 1: Asteroids/Missile Command,The Code Monkeys,Nintendo,July 1995,gb,Two arcade classics on one cart.,3030-40237,40237,0,,https://www.giantbomb.com/arcade-classic-1-asteroidsmissile-command/3030-40237/,,ESRB: K-A
Arcade Classic 2: Centipede / Millipede,The Code Monkeys,Nintendo,August 1995,gb," Centipede/Millipede is a compilation of ""Centipede"" and ""Millipede"" for the original Game Boy.",3030-25796,25796,0,,https://www.giantbomb.com/arcade-classic-2-centipede-millipede/3030-25796/, <div> Overview :  Arcade Classic 2 is a compilation of      Centipede and     Millipede developed by    Code Monkeys and published by   Nintendo for the  Game Boy. </div> ,ESRB: K-A
Arcade Classic No. 3: Galaga/Galaxian,Namco,Namco JPNintendo NA/EU,September 1995,gb,"The third in the Game Boy ""Arcade Classic"" series.",3030-42852,42852,0,1995-07-14,https://www.giantbomb.com/arcade-classic-no-3-galagagalaxian/3030-42852/,,ESRB: K-A
Arcade Classic 4: Defender / Joust,Williams,Nintendo,October 1995,gb,A compilation cartridge of Defender and Joust for Game Boy. Includes Super Game Boy fuctionality.,3030-36674,36674,0,,https://www.giantbomb.com/arcade-classic-4-defender-joust/3030-36674/,,
Arcade Classics: Super Breakout/Battlezone,Black Pearl Software,Black Pearl Software,October 1996,gb,Compilation cartridge,3030-40241,40241,0,,https://www.giantbomb.com/arcade-classics-super-breakoutbattlezone/3030-40241/,,ESRB: K-A
Asteroids,The Code Monkeys,Accolade,February 1992,gb,A target of the 90's trend of remaking classic arcade games. Features improved graphics and many features not found in the original.,3030-40238,40238,0,1998-10-31,https://www.giantbomb.com/asteroids/3030-40238/,,ESRB: E
Atomic Punk,Hudson Soft,Hudson Soft,"May 5, 1991",gb,Atomic Punk is a game in the Bomberman series of games.,3030-23410,23410,0,1991-05-05,https://www.giantbomb.com/atomic-punk/3030-23410/," <div> Overview :  Atomic Punk, (also known as Dynablaster in Europe and Bomber Boy in Japan) is a game for the original Game Boy that is a part of   Hudson's Bomberman franchise.   </div>  <div> Gameplay :  In the single player game of Atomic Punk there are two different modes, A and B. In Game A mode there is a world map which contains nine different sections of play. Any of these sections can be chosen in any order. Coins are earned through finishing the sections, the amount is dependent on the speed finishing the level and the amount of destructible blocks that were destroyed. Coins can be used to buy various panels (or power ups) that can be used at the start of a section.    In the Game B mode the gameplay is classic  Bomberman style of merely trying to bomb the other players, no coins or world map are in this mode.  There is also a 2 player versus modes in Atomic Punk. The first of these modes is called Panel Mode. In Panel Mode each player starts at the basic fire power and a single bomb at a time, but various power ups will randomly appear on the play field that can increase the fire power or amount of bombs. The other mode, called Powerful Mode, both players start with being able to plant four bombs at a time and the fire power is at maximum. In Powerful Mode no power ups will appear on the play field. </div> ",
Attack of the Killer Tomatoes,Equilibrium,THQ NANintendo EUAltron JP,January 1992,gb,Play as Chad Finletter on a quest to make his way past evil mutant tomatoes and stop the crazy Dr. Putrid T. Gangreen from unleashing his Doomsday Tomato.,3030-12169,12169,0,,https://www.giantbomb.com/attack-of-the-killer-tomatoes/3030-12169/,,
