Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
Addams Family Values,Ocean Software,Ocean Software,"February 14, 1995",snes,A top-down action-adventure game based loosely on the events of the movie of the same name.,3030-12959,12959,0,,https://www.giantbomb.com/addams-family-values/3030-12959/,ESRB: K-A," <div> Overview : Addams Family Values is a licensed action-adventure game based on the 1993 movie of the same name. The player takes the role of Uncle Fester as he moves through the Addams Family estate to rescue the baby Pubert Addams from the movie's villainous nanny and ""Black Widow"" serial killer Debbie Jellinsky, who has managed to take control of the creatures that dwell in the estate and is forcing them to fight Fester.The player will need to explore each area, fight enemies, talk to NPCs (usually other members of the Addams family) and solve various key and button puzzles to move forward. The player is given a journal early on by Gomez to figure out where to go.The game was released in Europe and North America on the Super Nintendo. There is also a Sega Mega Drive version, but this was only released in Europe and Australia and not in North America. </div> "
The Adventures of Batman & Robin,Konami,Konami,"December 1, 1994",snes,"A set of three separate games that share the same title and are all based on the Batman animated TV series. The SNES version is more of an action platformer, while the Genesis and Game Gear versions are more of a shooter and the Sega CD version consists of only Batmobile levels.",3030-12434,12434,0,,https://www.giantbomb.com/the-adventures-of-batman-and-robin/3030-12434/,ESRB: K-A," <div> Overview : The Adventures of Batman & Robin is a variety of different games. The SNES version is a traditional side-scrolling action game whereas the Genesis version is a two player game that plays like a shooter. But instead of using guns, Batman and Robin uses Batarangs and other projectiles to take out their foes. The Sega CD version consists of just Batmobile levels. </div>  <div> The SNES Version : The Adventures of Batman & Robin was originally titled ""Batman: The Animated Series"" after the show. But since the show got a name change, the game was delayed and then renamed to what it is called today and Robin was added as an NPC. Despite his appearance in the game, Robin is not a playable character. Each level is based off episodes of the series and shared dialogue and moments from them. Before each level Batman must choose from a variety of different weapons to take with him.The SNES version had 8 levels: </div>  <div> The Genesis/ Mega Drive Version : The Joker and Harley Quinn broadcast a television message to Batman inviting him to meet them at The Joker's Funhouse.Boss: The JokerBased on the episode(s): Christmas with the Joker, Be A ClownLevel title card </div>  <div> The Sega CD Version : Bizarre things are occurring at the forest in Gotham City suburban district there's only one person who would do such a thing. In this level, Batman refuses to use his fists, Bat Stars and Bat Explosives since there are only female enemies.Boss: Poison IvyBased on the episode(s): Pretty Poison, Eternal YouthLevel title card </div> "
Dr. Franken,MotiveTime,DTMC (NA)Elite Systems (EU),"December 1, 1993",snes,"A comedic horror-themed 2D platformer in which Franky must find all of the body parts of his girlfriend, Bitsy, and then use a machine to bring her back to life. The SNES port is known as The Adventures of Dr. Franken.",3030-12707,12707,0,1992-12-01,https://www.giantbomb.com/dr-franken/3030-12707/,ESRB: E," <div> Overview : Dr. Franken is a 2D sidescrolling game that casts the player in the role of Franky, a smaller version of Frankenstein's Monster, who must explore Dr. Frankenstein's castle in order to recover pieces of his girlfriend Bitsy and reassemble her. Franky eventually ends up travelling all over the world to find the remaining pieces.Dr Franken was originally developed by Motivetime and published by Elite Systems on the Game Boy in 1992. It was ported to the Super Nintendo the following year. In the US, the SNES version is known as The Adventures of Dr Franken. The SNES PAL box art still calls the game Dr. Franken, though the in-game title screen refers to it by its new extended name.Versions for the NES and Game Gear were also developed but never commercially released. The game was followed up with a Game Boy only sequel, Dr. Franken II, in 1997. </div>  <div> Gameplay : Dr. Franken is a 2D platformer featuring a complex map that requires the player to jump onto various objects and use stairs in order to navigate. Various parts of the castle are also blocked off until the player collects the proper items that will open up specific areas. The game features a map that displays Franky's position in all areas save for the castle's lowest level, which is an underground labyrinth.Along the way, Franky must contend with numerous enemies and traps that must either be fought or avoided. Franky is able to deal damage using an electrical attack, though most of the game's enemies either come back to life or cannot be killed. The castle contains an electricity-charging machine capable of restoring Franky's life energy should he take too much damage from enemies.Game progress is saved using a password system. </div>  <div> Critical Reception : Electronic Gaming Monthly issued the scores of 7,7,6,6 and 7. Mike Weigand wrote, ""This is a good, almost non-linear game involving Frankenstein with a pair of shades and some devastating attacks as he travels around the globe. The graphics are very cute and the animations provide plenty of laughs"". </div> "
Mighty Max,Ocean Software,Ocean Software,"February 7, 1995",snes,A 16-bit action platformer game based on the TV show of the same name which in turn was based on the toyline of the same name. Max's friends Bea and Felix are also playable characters.,3030-3680,3680,0,1994-12-09,https://www.giantbomb.com/mighty-max/3030-3680/,," <div> Overview : Mighty Max (EU: ""The Adventures of Mighty Max"") is a 16-bit platformer with shooter elements for the Super Nintendo and Sega Genesis released in late 1994. It was developed by WJS Design: a UK developer better known for their collaborations with Psygnosis for the Atari ST and Amiga. An Amiga version of Mighty Max was planned but fell through due to the system's imminent obsolescence.The player takes Max (or Bea or Felix, his two friends) and moves through various themed worlds taken from the cartoon. The goal is to explore the stages - which are fairly open - to find Skull Master's weapons and destroy them. </div> "
The Adventures of Rocky and Bullwinkle and Friends,Imagineering,THQ,"June 1, 1993",snes,"Rocky and Bullwinkle is a platformer starring Bullwinkle the moose and the flying squirrel Rocky. It also includes mini-games featuring some of their friends, Dudley Do-Right and Sherman &amp; Mister Peabody.",3030-8118,8118,0,,https://www.giantbomb.com/the-adventures-of-rocky-and-bullwinkle-and-friends/3030-8118/,," <div> Overview : The Adventures of Rocky and Bullwinkle and Friends is a platformer action game featuring the characters from the long-running animated series The Rocky and Bullwinkle Show. In the game, the duo chase after some familiar-looking thieves who rob the Rocky and Bullwinkle Museum on its opening day. The player can also play basic mini-games featuring Dudley Do-Right, the fearless (and hapless) Canadian Mountie, and Sherman and Mister Peabody, a boy and his dog who regularly travel through time.The game was developed by Imagineering Inc. released on multiple systems by THQ. The NES and Game Boy versions were created first in late 1992, followed by the SNES and Genesis versions in mid-1993. The characters in the SNES version actually break the fourth wall to remark on the earlier versions and the similar material, displaying the same wry self-referential humor of the series it's based on. </div>  <div> Critical Reception : When the Genesis version was released Mike Weigand of Electronic Gaming Monthly gave the review score of 4 out of 10 writing, ""...This is an almost carbon-copy of the NES version, with the poor control intact! Dig the way Rocky attacks with those huge antlers and climbs the side of that mountain! The variety of games is nice, but the whole thing looks rushed"". </div> "
Yogi Bear: The Video Game,Empire Software,Cybersoft,"October 1, 1994",snes,"Video Game for Nintendo Wii and DS scheduled to be released worldwide this holiday season together with the release of the new movie ""Yogi Bear"".",3030-32869,32869,0,2010-12-07,https://www.giantbomb.com/yogi-bear-the-video-game/3030-32869/,PEGI: 3+,
AeroWings,Video System,Video System (JP)MC O'River (NA),"November 1, 1994",snes,Aerowings on the Dreamcast is a Flight Simulator in which you play as a stunt pilot in the Japanese version of the Blue Angels.,3030-7963,7963,0,1999-08-31,https://www.giantbomb.com/aerowings/3030-7963/,ESRB: E,
Aero the Acro-Bat,Iguana Entertainment,Sunsoft,"October 12, 1993",snes,"Aero the Acro-bat's gameplay consists of simple platforming elements in which Aero, a red bat, that lives in a circus, must defend it from Edgar Ektor.",3030-19337,19337,0,,https://www.giantbomb.com/aero-the-acro-bat/3030-19337/,ESRB: E," <div> Overview : Aero the Acro-Bat is a mascot platformer from Iguana Entertainment, the studio best known for creating NBA Jam and Turok that would later become Acclaim Studios Austin. Aero was the second game Iguana developed after the football game Super High Impact.Aero the Acro-Bat was released on the Genesis and Super Nintendo in late 1993 in both Europe and the US, and was later ported to the GBA in 2002, where it made its Japanese debut. The SNES version was placed on the Wii's Virtual Console in 2010 for US and European regions. </div>  <div> Gameplay : The levels play out in typical 2D platforming style but in order to clear levels, the player must accomplish certain tasks so that the exit warp can be revealed. Those tasks include passing through hoops, stepping on platforms until they disappear, ride roller coasters, etc. There are 4 worlds with 5 levels in each one, and the levels are large, many of them containing awkwardly positioned spikes that kill instantly.Aero can attack enemies by shooting limited stars or by doing an aerial diagonal drill attack at his target (when he is in the air). </div> "
Aero the Acro-Bat 2,Iguana Entertainment,Sunsoft,November 1994,snes,A Super Nintendo sequel featuring SunSoft's daredevil rodent in another high-flying adventure.,3030-11514,11514,0,1994-04-01,https://www.giantbomb.com/aero-the-acro-bat-2/3030-11514/,PEGI: 3+," <div> Overview : Aero the Acro-Bat 2 is a SNES-exclusive mascot platformer from Iguana Entertainment and SunSoft, and the sequel to the original Aero the Acro-Bat. The story involves Ektor narrowly surviving his climactic battle with Aero in the previous game, getting saved by his henchman Zero the Kamikaze Squirrel, while Aero accidentally falls into a magician's box and is teleported to an unknown location.As with the previous game, the platforming is built around Aero's ability to ""drill"" through the air. This works as both a means to attack enemies and as a double jump to get around obstacles, though the distance and direction is fixed: Aero can only fly at a 60 degree angle up or down (dependent on whether or not the player is holding down on the D-pad). Levels also have a number of secret areas and power-ups to find, often behind fake walls. Aero the Acro-Bat 2 also includes snowboarding levels.The credits of Aero the Acro-Bat 2 features a dedication to Ayrton Senna, the Formula One racer who passed away in the May of 1994. </div> "
Manga Kakeru,Koei,Koei,"February 2, 1993",snes,A manga creator for the PlayStation Vita and PlayStation 4 developed by Granzella.,3030-65362,65362,0,2018-01-26,https://www.giantbomb.com/manga-kakeru/3030-65362/,CERO: D,
Aerobiz Supersonic,Koei,Koei,"August 29, 1994",snes,"A turn-based management simulation game in which the player owns an airline business. It is the sequel to Aerobiz, and features near-future scenarios involving supersonic flight.",3030-19317,19317,0,1993-04-02,https://www.giantbomb.com/aerobiz-supersonic/3030-19317/,CERO: All Ages," <div> Overview: : Aerobiz Supersonic is a turn-based business strategy game, in which the player takes the reigns of a start-up airline and grows it into the largest airline in the world. The game is a simulation, but it does not aim for the same level of detail as its PC contemporaries. It is part of Koei's ""Executive Series"", which are mostly business simulations.The game features licensed aircraft from most major manufacturers, which become available (or go out of production) as time passes. Scripted world events (wars, the Olympics, the cold war) and random events (storms, plane crashes) sometimes alter the business climate, and are the game's only real plot points. The game is played on a simplified map of the real world, with cities whose locations and statistics bear some similarity to their real-life counterparts. An average playthrough on ""Turbo"" difficulty (medium) takes about two hours.  </div>  <div> Gameplay : The player competes with three other (A.I. or Human) players. The goal of the game is for the player to have the most passenger traffic in at least four regions as well as to establish a hub in every region. </div> "
Air Cavalry,Synergistic Software,Cybersoft,"June 20, 1995",snes,Air Cavalry is a helicopter action game for the SNES.,3030-7643,7643,0,,https://www.giantbomb.com/air-cavalry/3030-7643/,," <div> Overview : Air Cavalry is an action game developed by Synergistic Software and published by Cybersoft (GameTek for PAL regions) for the SNES platform.The player commands a helicopter gunship in three different environments - Middle East, Central America and Indonesia - and must pursue objective targets across a large map. Different targets require differently weaponry and a different approach, and the player can change their craft mid-mission to suit the mission. The game adapts the SNES's Mode 7 technology when traversing across each region. The helicopters include: the OH-6D Defender, the Boeing AH-64 Apache and the AH-94A Valkyrie.The game features two modes that include a second player: competitive and co-op. Even in the competitive mode, where the only mission objective is to destroy the other player, both players still need to be wary of enemy ground units.  </div> "
Al Unser Jr.'s Road to the Top,Radical Entertainment,Mindscape,"November 1, 1994",snes,"A SNES racing game released in 1994. It features multiple vehicle types, and utilized the Super Nintendo's Mode 7 technology.",3030-31005,31005,0,,https://www.giantbomb.com/al-unser-jrs-road-to-the-top/3030-31005/,," <div> Overview : Al Unser Jr.'s Road to the Top is a third-person racing game for the Super Nintendo that switches from vehicle to vehicle, each with their own properties, handling and maximum speed. Al Unser Jr. lends his name and likeness to the game and often dispenses advice. The title of the game refers to the fact that the player has to make their way to the ""top"" where Indy car racing and a match against the eponymous famous race driver awaits.Along the way, the player has to master go-karts, snowmobiles and IROC stock cars.The game is unrelated to Al Unser Jr.'s Turbo Racing for the NES, which was developed and published by Data East. </div> "
