Title,Developer,Publisher,Release date NA,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
Manga Kakeru,Koei,Koei,1992,genesis,A manga creator for the PlayStation Vita and PlayStation 4 developed by Granzella.,3030-65362,65362,0,2018-01-26,https://www.giantbomb.com/manga-kakeru/3030-65362/,CERO: D,
Aerobiz Supersonic,Koei,Koei,November 1994,genesis,"A turn-based management simulation game in which the player owns an airline business. It is the sequel to Aerobiz, and features near-future scenarios involving supersonic flight.",3030-19317,19317,0,1993-04-02,https://www.giantbomb.com/aerobiz-supersonic/3030-19317/,CERO: All Ages," <div> Overview: : Aerobiz Supersonic is a turn-based business strategy game, in which the player takes the reigns of a start-up airline and grows it into the largest airline in the world. The game is a simulation, but it does not aim for the same level of detail as its PC contemporaries. It is part of Koei's ""Executive Series"", which are mostly business simulations.The game features licensed aircraft from most major manufacturers, which become available (or go out of production) as time passes. Scripted world events (wars, the Olympics, the cold war) and random events (storms, plane crashes) sometimes alter the business climate, and are the game's only real plot points. The game is played on a simplified map of the real world, with cities whose locations and statistics bear some similarity to their real-life counterparts. An average playthrough on ""Turbo"" difficulty (medium) takes about two hours.  </div>  <div> Gameplay : The player competes with three other (A.I. or Human) players. The goal of the game is for the player to have the most passenger traffic in at least four regions as well as to establish a hub in every region. </div> "
After Burner II,Dempa,Dempa JPSega NA/PAL,July 1990,genesis,"A Z-axis shoot 'em up from Sega that features a F-14 Tomcat jet fighter and incredible speeds. Like the racing game OutRun, After Burner II would become a huge success for Sega in the Arcades. The game was later released to different consoles.",3030-2139,2139,0,,https://www.giantbomb.com/after-burner-ii/3030-2139/,CERO: A," <div> Overview : After Burner II is a Z-axis shoot 'em up with a F-14 Tomcat fighter jet and the sequel to Sega's After Burner. Using Sega's revolutionary sprite-scaling technology, the After Burner games would increase the velocity of the player's craft to almost dizzying levels as they attempted to avoid missiles and other airborne threats in intense air missions.Best known for its Arcade version, which could be played in a specially-designed sit-down cabinet shaped like the jet's cockpit, the game would also see multiple home versions for various Sega and non-Sega systems. Many of these home versions struggle to match the speed of the original Arcade After Burner II: a common issue with Sega's sprite-scaling Arcade games. The 1996 Sega Saturn conversion is one of the few to be considered ""Arcade perfect"", as it operated on the same code.After Burner II would also be adapted for the 3D Classics range for the 3DS, which added 3D compatibility, and was included in the Sega Ages range of Sega Arcade conversions for the Japanese PS2. </div> "
Aero Blasters,Inter State,Kaneko,February 1991,genesis,A horizontal-scrolling Arcade shoot 'em up developed by Kaneko. It saw home conversions for the TurboGrafx-16 and Genesis (on the Genesis it is known as Air Buster).,3030-19275,19275,0,,https://www.giantbomb.com/aero-blasters/3030-19275/,," <div> Overview : Aero Blasters (NA Genesis: Air Busters) is a 1990 Kaneko shoot 'em up. The game is known for its incredible speed, with stages where the playing field is limited to narrow passageways that the player must navigate their ship through, like Scramble. The game includes multiple power-up types and different ships the player can use.Aero Blasters was converted to the TurboGrafx-16 later the same year and to the Sega Genesis the following year. Both versions were developed by Kaneko's home console subsidiary Inter State Software. </div> "
Air Diver,Copya System,Asmik JPSeismicNA,April 1990,genesis,Air Diver is an action flight sim exclusively for the Genesis.,3030-11812,11812,0,1990-03-09,https://www.giantbomb.com/air-diver/3030-11812/,," <div> Overview : Air Diver is an action flight simulator developed by Copya System and published by both Asmik Ace (Japanese release) and Seismic Software (US release) for the Sega Genesis platform.The player embarks on a series of missions, each with a varying percentage chance of success. The ultimate goal of the game is to topple an immense terrorist organization that began in the Middle East and expanded to include several ""unfriendly governments"". Unlike many combat flight sims, the game also includes fights against massive bosses at the end of each level.The game would have two sequels on the Super Famicom/Super Nintendo Entertainment System: Super Air Diver (a.k.a. Lock On) and Super Air Diver 2. </div> "
Alex Kidd in Miracle World DX,Sega R&D2,Sega,"March 14, 1990",genesis,A remake of the Sega Master System classic.,3030-78915,78915,0,2021-06-22,https://www.giantbomb.com/alex-kidd-in-miracle-world-dx/3030-78915/,ESRB: E, <div> Overview : Alex Kidd in Miracle World DX is a remake of the original Alex Kidd in Miracle World being developed by Jankenteam and Merge Games and published by Merge Games with license from Sega. </div> 
Alien³,Probe Software,Arena Entertainment,October 1992[15],genesis,An action game from Acclaim based on the 1992 David Fincher movie. The player assumes the role of Ripley as she explores the prison planet of Fury 161.,3030-14356,14356,0,,https://www.giantbomb.com/alien3/3030-14356/,," <div> Overview : With the release of the Alien 3 film several games were released to tie into the film. With the Super Nintendo and Genesis as the leading platforms the game was built and ported to other systems, including the Commodore 64 and Game Gear. The games are set on the world of the film, Fury 161, but the gameplay actually has more in common with the film Aliens, throwing wave after wave of enemies at the player. Whereas in Alien 3 there was only one xenomorph.The video game versions (except the Nintendo Entertainment System) were praised at the time of its release for not sticking with the lack of guns and multiple aliens in the film, which was the film's most criticized aspects. </div>  <div> SNES Version : The SNES version had varied missions to complete.In the SNES version, Ripley begins the game in a corridor where she can operate a computer terminal which gives her access to various missions. Missions have Ripley completing objectives such as destroying groups of eggs, fixing pipes or junction boxes, isolating rooms, killing Alien Queens or rescuing trapped inmates. Completing these missions leads to the game's ending, which is closer to the movie than the other versions. Like most versions of the game, the SNES version was liberal with the material, generating waves of enemies to combat.Unlike the other versions of the game, health, ammo and enemies respawn during the levels.There are 6 levels in total, each having a range of missions in them. Since completing a level takes around half an hour to an hour, the levels can be accessed via a password system.The soundtrack is inspired on that of the film's, unlike the Genesis's more action game music. Complex orchestrations delivered by the SNES's sound chip accompany the game to give it a movie-like feeling.The graphics are also superior, having rich detail in the backgrounds and effects like smoke and rain occurring in parts of Fury 161. Ripley and her enemies have smooth animations and there are lighting effects on the scenery and/or the objects when using a flame thrower in egg rooms or closing a door.The SNES version was released after the movie, therefore it doesn't contain any deleted scenes or scenery present at the time of the other versions' developments. </div>  <div> Genesis Version : The Genesis version was a slightly different case. Instead of missions in a large, persistent area, the game uses stages (or levels) like many other platformers of the time. The majority of these see the player fighting their way through hordes of Aliens in order to rescue prisoners before the timer runs out. When the timer does run out, the player is show a scene of each of the remaining prisoners giving birth to a chestburster Alien. In addition to these rescue missions, there are other mission instances. Every few missions the player must fight a boss alien (and in the games finale, two at once) and occasionally, the player will have to rescue lots of prisoners, without interference from Aliens. As well as the opposite, having to shoot lots of Aliens and reach the exit without needing to rescue prisoners.Rescue the prisoners as fast as possible, before this happens.The game consists of roughly 20 missions, each increasing in difficulty and features several different locations from the movie (such as the prison grounds, the lead works, the slaughter house, the Alien nest, etc) and features a number of weapons commonly seen in the franchise (but ironically, none of which were seen in the actual film) the pulse rifle, flamethrower, grenade launcher and hand grenades.In addition to this, the player is given health and battery pickups. The battery pickups allow the motion tracker in the top right hand corner of the screen to work for a short time, but once the battery has run out it reverts to being blank again until the player picks up another battery. Enemies include the ubiquitous Alien, as well as much later in the game Eggs and Facehuggers, in addition to the larger boss Aliens.Since the movie was subject to various creative inputs due to a lack of consent over the final script, many things were scrapped but some remained in the video game, such as the abattoir level (which is present in the recent Alien 3 Assembly Cut) and the fact that Ripley survives in the end. </div>  <div> Master System, Game Gear, Amiga and Commodore 64 Versions : The Master System and Game Gear versions are very similar to the Genesis version, the first few levels are exactly the same but with a major graphical downgrade. The player has access to largely the same arsenal of movements and weapons, as well as having a countdown clock and prisoners to rescue. Beyond the first few levels, they begin to differ slightly, but not much from the Genesis version of the game.The Commodore 64 version follows the same principle and scenery of the Genesis game, but with altered level design.The Amiga version looked and played similar to the Genesis version in terms of graphics but the player had to choose either to play the music or sound effects but not both. </div>  <div> NES Version : The NES version was developed by LJN LTD, and featured a drastically different visual style as well as gameplay mechanics. The graphics are indistinct, the Alien creatures appear to be vague shapes of solid color and the game world itself features a lot less detail than that of the Master System, or other versions. The game features a large HUD which occupies the bottom portion of the screen and displays information such as remaining ammunition. The game's sound effects were also a much lower quality than that of other versions. The game featured a variety of different mission locations taken from the film, and like the other versions the main objective throughout the game is to rescue prisoners on each level before proceeding to the exit.Though seen as a mediocre game at the time of its release, the game has been heavily criticized as time went by. </div> "
Alien Soldier,Treasure,Sega,April 1995,genesis,Players fight boss after boss in this side-scroller from Treasure.,3030-17008,17008,0,1995-02-24,https://www.giantbomb.com/alien-soldier/3030-17008/,ESRB: E10+," <div> Overview : Alien Solider is a video game developed by Treasure for the Sega Genesis. Initially available only in Japan, the game became available to Americans via a variety of digital services (Sega Channel, Gametap, Virtual Console etc...) </div> "
Alien Storm,Sega CS,Sega,July 1991,genesis,"Alien Storm is an arcade beat-em-up by Sega in the same vein as the more successful Golden Axe. The game was ported to a number of different home systems, most notably the Sega Genesis.",3030-2596,2596,0,1991-06-28,https://www.giantbomb.com/alien-storm/3030-2596/,OFLC: PG," <div> Overview : Alien Storm is a side-scrolling brawler for up to three players in the Arcade version, two players in the Genesis version, and one in the Master System version. Players take control of one of the three members of the 'Alien Busters' over six stages, each containing multiple levels and boss battles.Alien Storm was originally released on Sega System 18 hardware, and along with Shadow Dancer was one of the earliest games to utilize it. Its Sega Genesis port has been rereleased in multiple forms, including on Steam, on Wii Virtual Console, and in multiple Sega compilations such as Sega Genesis Classics. </div>  <div> Story : Aliens are invading Earth and only the only thing that stands in their way are the 'Alien Busters'. Karen, Gordon, and Scooter must take to the streets and send the aliens back to the mothership. </div>  <div> Gameplay : Players fight multiple types of aliens in the game, each move and attack differently, some using the environment to attack or hide from danger. Killing some aliens will drop power-ups, giving the player either extra lives, energy or health.Each character has unlimited usage of various short-range attacks, e.g. punches, kicks. Along with these standard attacks, each character has their own individual weapon and a special attacks which differ greatly depending on the game's version.Gordon summons a U.S. Air Force starship that drops bombs across the street (in the Master System version he has Karen's special, a ballistic missile strike).Scooter will teleport out of his present location and leave a series of bombs that will blow up on the appearance of aliens, after which he will re-appear (in the Mega Drive version he just explodes, leaving his head, which his new body returns to retrieve).Karen calls down a nuclear missile, which incinerates every foe on the screen.A large amount of energy is depleted by using each character's special attack, and cannot be used if the energy of the player's character is too low.At the end of each mission is a bonus stage, where the side-scrolling gameplay shifts to either a shooting gallery perspective where the player must take out the aliens that pop out of various locations, or an auto-scrolling running section that is similar to the side scrolling mode but features ranged weapons. </div>  <div> Platform Variation : Special attacks (mentioned above)Number of simultaneous players (mentioned above)Karen is absent in the Master System version of the game.Gordon is named Garth in some versionsScooter the robot, is named ""Slammer"" in Master System version.The Genesis and Mega Drive version has 8 stages instead of 6.In the console and Japanese arcade versions, Gordon has red clothes while Karen has a yellow outfit. In the US arcade version, Gordon is dressed in blue and Karen is in red.The arcade original only features a single boss that has three distinct forms. The Mega Drive port has two of these forms as two separate bosses. </div> "
Alisia Dragoon,Game Arts,Game ArtsJPSegaNA/PAL,"March 30, 1992[16]",genesis,The mage-warrior Alisia must save the world from an evil space-borne terror with the help of her magical pets.,3030-9988,9988,0,,https://www.giantbomb.com/alisia-dragoon/3030-9988/,," <div> Overview : Alisia Dragoon is a Sega Genesis/Mega Drive exclusive action game from Game Arts in which a powerful mage named Alisia, accompanied by various magical companions, must fight back the hordes of an evil ""Silver Star"" that recently appeared in the sky. Alisia's chief weapon is a homing lightning spell which requires recharging after constant use.Animation studio Gainax was brought in for the game's artwork and story, while frequent Game Arts collaborators Mecano Associates was responsible for the game's music. Alisia Dragoon would eventually become one of the games chosen to represent the system on the Sega Genesis Mini console, released in 2019. Western and Eastern Box ArtsAlisia Dragoon's box art was changed significantly for East and Western audiences.In Japan, Alisia was shown more of a big eyed anime character while in the west she was a barbarian in a bikini. </div>  <div> Story : Alisia is the daughter of a powerful sorcerer who imprisoned the evil Baldour in a cocoon and sent it into outer space. Her father is later tortured to death by Baldour's followers. Eventually the cocoon comes crashing back down to the planet and Alisia sets out to defeat Baldour and his followers.  </div> "
Altered Beast,Sega R&D2,Sega,"August 14, 1989",genesis,"A third-person action game pitched as a reboot of the Altered Beast franchise. It was only released in Europe and Japan, as the North American release was cancelled.",3030-35737,35737,0,2005-01-27,https://www.giantbomb.com/altered-beast/3030-35737/,CERO: D," <div> Story : The game follows Luke Custer, a military operative and cyborg who can combine other beings' genetic data with his own and transform into huge beasts. Custer is sent to investigate a ""genetic outbreak"" in a small town, but loses his memory after his helicopter inevitably crashes. He is left to fight through a town full of mutants and uncover the truth of his past. </div>  <div> Gameplay : The player is given 8 possible transformations over the course of the game, including the werewolf, dragon, tiger, and bear forms seen in the original Altered Beast, as well as new forms like the wendigo (more or less a yeti) and the minotaur. Each form has a different set of attacks and abilities, with specific forms sometimes being required to solve puzzles. </div> "
American Gladiators,Imagitec Design,GameTek,January 1993[17],genesis,A competitive multiplayer action game based on the TV game show American Gladiators. Players compete against the clock and each other to complete events and obstacle courses.,3030-346,346,0,,https://www.giantbomb.com/american-gladiators/3030-346/,," <div> Overview : American Gladiators is a video game adaptation of the TV show, in which regular people compete with professional athletes and gymnasts in numerous events. The game contains five events with four difficulty levels. If the player can successfully complete all four difficulty levels, they get to compete in The Eliminator Challenge. The player can compete against another human companion, or an AI.The game received multiple console and computer versions, most of which shared the same events and only had graphical differences.  </div>  <div> Events : The Human CannonballAssaultPowerballThe WallJoustAtlasphere (not in NES version)The Eliminator </div>  <div> Gladiators : GeminiGoldLaceNitroLaserBlaze </div> "
Andre Agassi Tennis,TecMagik,TecMagik,January 1993[17],genesis,This is the first tennis game to use Andre Agassi's likeness. It came out for many Sega and Nintendo platforms.,3030-19171,19171,0,,https://www.giantbomb.com/andre-agassi-tennis/3030-19171/,," <div> Overview :  Andre Agassi stars in his first tennis game that came out for the  SMS,  SNES,  Genesis and  Game Gear. This tennis game does not have any other notable tennis stars to note but features many game play options like practice, tournament and skins tournament that makes this game unique from other tennis games before it. </div>  <div> Gameplay : The game uses the same rules of tennis that is played today. A player must get over 40 points to win a game, 6 games to win a set and win 2 sets out of the 3 to finish the full match. The game allows the player to play either singles or doubles in either tournament or skins tournament. They can even select what court surface to play on like grass, clay, hard or indoor. After the player selects a type of game, they will have a choice of any of these players: Andre AgassiTiger BallRon PepperDon MattBob ""Bit"" ChinGeorge KingCarol ArkCassie NovaEach athlete has attributes for them like speed, strength (backhand, forehand and server) and accuracy (backhand, forehand and server) which makes the choice of athlete an interesting one. Once an athlete has been selected, two main buttons will be used during the match. The (A) button will help the player lob the ball in the air while the (B) button will help them hit the ball normally (this is for the Genesis version). When the ball is served or hit on the player's side of the court, they must get as close as possible to the ball and hit it back. The player can use either a backhand or forehand depending on their position before hitting the ball. They can move around the court and position themselves using the D-pad. </div>  <div> Game Modes : Practice Mode - This mode allows the player to select an athlete and have a ball machine feed them balls so the player can practice their game. There are no winner or losers in this mode.Tournament Mode - Like a career mode, the player selects an athlete to play as in a tournament and face many opponents before facing the final match and winning it all.Skins Tournament Mode - This is a tournament that places money down on each hit that takes place during the match. Whoever wins a point will receive the total amount of money in the pot. The pot starts with $10 and doubles each hit from there on in. </div> "
Animaniacs,Konami,Konami,"May 14, 1994",genesis,"A licensed platformer game released for both the SNES and the Genesis systems. Both games, although fairly different, allows the player to switch between the Warner Brothers (and Warner Sister) at will in order to overcome obstacles.",3030-3674,3674,0,1994-05-14,https://www.giantbomb.com/animaniacs/3030-3674/,," <div> Overview : Animaniacs is a platforming game released by Konami on the SNES and Genesis consoles. Although they share some similarities, the two games are quite different. The SNES version of the game allows for the player to switch between the three characters, Yakko, Wakko and Dot, at will. There are no actual ""lives"" in this game: the game ends when every character is captured. Also, the characters move left, right, up and down, similar to the Final Fight series of games but dissimilar to many other platformer games. The game's goal is to retrieve the lost pages of a script stolen by Pinky and The Brain, in order to stop their attempt to ""try and take over the world"". Each level has many references to and parodies of different films, such as Indiana Jones.The Genesis version is different from the SNES version and shares more similarities to a normal platformer game. This game has some elements of The Lost Vikings games, in that each character has a special trait that must be used to overcome obstacles in each level: for example, Yakko can push heavy objects, Wakko can use his hammer to break blocks, and Dot can use her charm (""air kiss"") to stop male characters obstructing the level. Each level is a parody of a different movie genre and can be played out of order (non-linear, much like the Mega Man series). The goal of the game is to retrieve stolen artifacts from movies so as to, yet again, stop Pinky and the Brain from taking over the Warner Brothers studio and the world.Both games are also tongue-in-cheek in nature, often having various references to popular films and even fourth wall moments. Specifically, the beginning cutscene of the Animaniacs game for Genesis has the characters talking about themselves being in a video game (and ""welcoming"" the player to the game). </div> "
