Title,Developer,Publisher,First released,console,guid,deck,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
Armada F/X Racers,Metro3D,Metro3D,,gbc,3030-36378,Armada F/X Racers is a racing game for the Game Boy Color.,36378,0,2000-08-25,https://www.giantbomb.com/armada-fx-racers/3030-36378/,ESRB: E, <div> Overview : Armada F/X Racers is a racing game developed and published by Metro3D (Now known as Data Design) for the Game Boy Color platform. </div>  <div> Story : The story in Armada F/X Racers is that each of the characters in the game is trying to win a tournament of races and boss battles to become the racing champion of the Armada Galaxy. </div>  <div> Gameplay : Armada F/X Racers is a top down futuristic racing game which plays very similar to Rock N Roll Racing. </div> 
Armorines: Project S.W.A.R.M.,Neon Software,Acclaim Entertainment,"December 3, 2000",gbc,3030-6563,"Based on the comic book of the same name, Armorines: Project S.W.A.R.M. has the player slaughtering invading aliens in an attempt to save Earth.",6563,0,1999-11-30,https://www.giantbomb.com/armorines-project-swarm/3030-6563/,ESRB: T," <div> Plot : Armorines: Project S.W.A.R.M. is based on the Armorines comic book, where armored marines fight aliens in the name of the United States government. You do much of the same in the game, but the enemies strike little resemblance to those in the comic. The Spider Aliens of the comic book are slightly humanoid, while those found in the game resemble over-sized bugs. You must save Earth from invading enemies, much like in the movie Starship Troopers released a couple of years earlier. </div>  <div> Gameplay : ScreenshotIt's a first-person shooter where each mission is objective-based. There are five environments, both on Earth and in space. Several game segments are on-rails. Player are ranked in a points system and promoted when due. There are two Armorines available for play, one slow and strong and one fast and adequate in strength. Two-player co-op and standard four-player Deathmatch are supported.The game uses Acclaim's Turok 2 engine. By using a Nintendo 64 Expansion Pak, the Nintendo 64 version can output in hi-res (640 x 480). The game had no analog support on the PlayStation version, making the control schemes difficult to use.On the GameBoy Color version, you play as a single marine with five weapons to choose from. There are six levels and seven kinds of enemies. </div>  <div> Characters : Gunnery Sergent Harold ""Gunny"" LewisLieutenant Myra Lane </div>  <div> Reception : Although sharing the same engine as the successful Turok 2: Seeds of Evil, the game did not fare well among videogame critics. IGN wrote that ""Armorines is a Starship Troopers add-on to the Turok 2 engine. Nothing more."" The GameBoy Color version generally received higher scores than the console versions. The Nintendo 64 version generally received higher scores than the PlayStation version; GameSpot wrote that discussing all the bad things about the PlayStation version ""would be like flogging a dead horse"" and that ""elements that were bland and boring in the Nintendo 64 version are downright offensive here.""A sequel for the game was planned, but then cancelled after the game's poor reception. </div>  <div> Prequel Comic : A four issue mini-series was released by Acclaim Comics prior to the games release. Due to low sales, these issues are hard to find, particualarly the final issue (featuring the X-O Manowar). </div> "
Army Men II,Digital Eclipse,The 3DO Company,"November 24, 2000",gbc,3030-5243,"The sequel to the ""best selling"" isometric war game depicting a conflict between the noble Green army and the sinister Tan army.",5243,0,1999-03-22,https://www.giantbomb.com/army-men-ii/3030-5243/,ESRB: T," <div> Overview : Army Men II (Written as Army Men 2 on the  Game Boy Color) was developed by  Digital Eclipse and Cosmigo (Game Boy Color version) and  3DO (PC version). Army Men II was published by 3DO on both platforms. </div>  <div> PC Requirements : Windows 95/98 or Me;Pentium 90 (Min.), Pentium 133 (Rec.);4x CD-ROM drive;16MB RAM (Min.), 32MB (Rec.);1MB DirectX compatible graphics card;DirectX compatible sound card;150MB free hard drive space (Min.). </div> "
Army Men: Air Combat,Fluid Studios,The 3DO Company,"November 24, 2000",gbc,3030-1691,Army Men: Air Combat is another entry in the Army Men franchise.,1691,0,2000-07-24,https://www.giantbomb.com/army-men-air-combat/3030-1691/,ESRB: T, <div> Overview : Army Men: Air Combat is an action game developed by Fluid Studios (Game Boy Color version) and 3DO (Nintendo 64 version). Army Men: Air Combat was published by 3DO on both platforms. </div> 
Army Men: Sarge's Heroes 2,Game Brains,The 3DO Company,"November 24, 2000",gbc,3030-14160,Sequel to 3D0's Army Men: Sarges Heroes. Sarge and his men (and women) fight the Tans once again.,14160,0,2000-09-26,https://www.giantbomb.com/army-men-sarges-heroes-2/3030-14160/,ESRB: T," <div> Overview : Army Men: Sarge's Heroes 2 is a third person shooter, developed and published by 3DO in 2000. The game takes place between Sarge's 'realistic' world and our world, in which Sarge is the size of a typical plastic Army Man soldier. It features many interactive effects, such as breakable wine bottles, bustable soda cans and music that spikes in intensity when enemies attack. During the game you will be swapping between several different characters.RiffThickShrapScorchPrivate Hoover </div>  <div> Gameplay : The gameplay consists of all the normal mechanics, crawling, kneeling down, jumping, climbing and auto aiming system. </div>  <div> Story : SH2 starts where SH left off. It is announced that the capture ( POW) of Field Marshal Tannenburg will end the war. Since General Plastro has disappeared, it is suggested that he has become a victim of plastrification and has been trapped in the real world. </div> "
Austin Powers: Oh Behave!,Tarantula Studios,Rockstar Games,"November 3, 2000",gbc,3030-13730,"Austin Powers: Oh Behave! created by Tarantula Studios and released in September of 2000, lets you turn your Game Boy Color into a hand held computer!",13730,0,2000-09-18,https://www.giantbomb.com/austin-powers-oh-behave/3030-13730/,ESRB: T," <div> Overview : Austin Powers: Oh Behave! appeals to hardcore Austin Powers fans who are rather unorganized. The game comes complete with a mini word processor (shown as Austin's Pad), a calculator (known as the Shagulator), and an imitation web browser that lets you browse facts about the Austin Powers movies. With these things, the game also lets you customize the background, screen saver, sound effects and wallpaper among other things. Not only does the game help fans organize, but it also includes various games inspired by the movie. </div>  <div>   : This is the largest of the games where you play as Austin in a side-scrolling adventure inspired by the movie. It involves you climbing obstacles and dispatching foes as you try to find your way to the end of each level. </div> "
Austin Powers: Welcome to My Underground Lair,Tarantula Studios,Rockstar Games,"November 3, 2000",gbc,3030-2084,Austin Powers: Welcome to My Underground Lair is a parody of the Windows operating system for the GameBoy Color.  The entire game mimics what Dr. Evil's computer would look like if he was a real person.,2084,0,2000-09-18,https://www.giantbomb.com/austin-powers-welcome-to-my-underground-lair/3030-2084/,ESRB: T," <div> Overview : Austin Powers: Welcome to My Underground Lair is a companion game to Austin Powers: Oh Behave. Like Behave, Welcome to My Underground Lair mimics an operating system with an evil spin. The game comes with a calculator, a Pac-man clone, a 2D driving game, and other computer-related applications. The game mimics various aspects commonly associated with Microsoft Windows of the era in which it was released, even making the player shut down the game like a computer and starting up with an unavoidable DOS-like cutscene. </div>  <div> Features : Mojo MazeDomination'Kin' EvilRock Paper ScissorsAbility to change cursor, backgrounds, screensaverCustomizable sound effects""Internet"" with information about Austin PowersFrickulator (Calculator)Movie Clip utilizing only blue/black colors from the movies </div>  <div> Quotes from the game : ""You did not shutdown the Game Boy properly. Press a button to continue...""""Checking for errors"" followed by ""Errors detected!""""Throw me a frickin' bone here!"" </div> "
Azure Dreams,Konami,Konami,2000,gbc,3030-5846,Embark on a quest as a young man attempts to restore his village and his father's legacy while exploring a mysterious tower.,5846,0,1997-11-13,https://www.giantbomb.com/azure-dreams/3030-5846/,ESRB: E," <div> Story : The Monster Tower has stood at the edge of Monsbaya for generations. Hunters come from far and wide to find their fortunes in its shifting floors, but few climb higher than just a few floors, and none have ever seen the top. Koh's father was the greatest hunter the land had seen, but he mysteriously disappeared in the tower when Koh was just a child. Now Koh is 16, an adult and old enough to be admitted to the tower. He journeys into the tower to search for clues as to the fate of his father, the mystery of the tower, and for untold riches. </div>  <div> Gameplay : Azure Dreams is, at it's core, a Dungeon Explorer but also incorporates elements of Dating sims, City Sims and Monster Tamers. </div>  <div> Game Boy Color : Azure Dreams is first and foremost a roguelike Dungeon Explorer. While inside of the main dungeon, Koh's actions are turn-based: walking, attacking, using items and activating traps all take one turn. All of the monsters on the floor also take a turn. The dungeon floor, along with it's items, traps and monsters, is randomly generated. When exploring the dungeon, the character can only bring in 5 items, but can leave with 20. On entering the dungeon the player always begins on the first floor. Between runs everything resets, only items (swords, magic orbs and shields) and the level of monster allies (see: monster tamer) persist. To exit the tower the player needs to find either a wind crystal item, or die, though death destroys all held items. At Koh's house, there is a bank that can hold 40 items and a monster hut that houses monsters. </div> "
Puzz Loop 2,Mitchell Corporation,Infogrames NACapcomJP,,gbc,3030-79662,"A sequel to Mitchell's Puzz Loop arcade game, featuring a new cartoony horror-themed art style and a new game mode involving larger ""power balls"".",79662,0,,https://www.giantbomb.com/puzz-loop-2/3030-79662/,," <div> Overview : Puzz Loop 2 is a tile-matching puzzle game developed by Mitchell and released by Capcom for arcades (using Capcom CP System II hardware) in February 2001.The sequel to the 1998 game Puzz Loop, Puzz Loop 2 features a new cartoony art style (themed after cutesy ""pop horror"") with a story (as the main protagonist must rescue his love interest from the main antagonist). In addition to the standard Stage, Panic, and VS Modes, the game introduces Power Mode, a variation of Panic mode including new larger pieces called ""Power Balls"". </div> "
Barbie: Magic Genie Adventure,Vicarious Visions,Mattel Interactive,,gbc,3030-35326,A Game Boy Color entry into the Barbie franchise.,35326,0,2000-11-11,https://www.giantbomb.com/barbie-magic-genie-adventure/3030-35326/,ESRB: E,
Barbie Pet Rescue,HotGen,Vivendi Universal Interactive Publishing,"December 14, 2001",gbc,3030-17263,Do what Barbie does best and save the world by rescuing cute fluffy animals one at a time. You play as Barbie and it’s your job to rescue the animals!,17263,0,2000-02-21,https://www.giantbomb.com/barbie-pet-rescue/3030-17263/,ESRB: E, <div> Overview  : Pet missing? Don’t worry because in this game  Barbie travels on her scooter to three different places to find eight different lost pets. You are joined by your kid sister Stacey in the Vet’s office. There you get missions to save the cuddly friends. You can also care for and tend to the animals. Some animals are hurt. You must mend them back to health. Enjoy the lush Barbie worlds and realistic animals.  </div> 
Bass Masters Classic,Natsume,THQ,"December 31, 1999",gbc,3030-33061,"Tournament fishing for the Game Boy Color, Genesis, and Super Nintendo. Gameplay takes place in top-down ""boat"" sections, as well as side perspective underwater view.",33061,0,,https://www.giantbomb.com/bass-masters-classic/3030-33061/,ESRB: K-A," <div> Overview : Bass Masters Classic is a fishing game developed by Natsume (Game Boy Color version), and Black Pearl Software (Sega Genesis and SNES versions). The game was published by THQ (Game Boy Color version), Black Pearl Software (Genesis Version), and Malibu Games (SNES version).The game was also published on the SNES in Japan by Altron Corporation.The game saw an enhanced remake the subsequent year by Black Pearl which was subtitled ""Pro Edition"". It was released for SNES and Genesis. </div>  <div> Gameplay : In Bass Masters Classic the player competes in multiple tournaments, consisting of three days each. The goal of the tournament is to catch a bigger bass than the rest of the competition. </div> "
Batman: Chaos in Gotham,Digital Eclipse,Ubi Soft,2001,gbc,3030-14037,The worst criminals in Gotham City have broken out of Arkham Asylum and it is up to Batman and Batgirl to put them back in this handheld platformer based on The New Batman Adventures animated TV series.,14037,0,2001-04-16,https://www.giantbomb.com/batman-chaos-in-gotham/3030-14037/,," <div> Overview : Batman: Chaos in Gotham is a 2D action platformer developed by Digital Eclipse and published by Ubisoft for the Game Boy Color on April 16, 2001. The first Batman game to be based on the animated TV series The New Batman Adventures, players take on the role of Batman or Batgirl as they fight various criminals that escaped from Arkham Asylum, including Mr. Freeze, The Joker, Harley Quinn, Roxy Rocket, Poison Ivy, Bane, and Two Face. </div> "
Batman Beyond: Return of the Joker,Kemco,Ubi Soft,"December 8, 2000",gbc,3030-1238,"Take on the mantle of the Tomorrow Knight as he takes on a ghost of his mentor's past, the clown prince of crime, in this beat-em-up tie-in to the 2000 animated movie of the same name.",1238,0,2000-11-20,https://www.giantbomb.com/batman-beyond-return-of-the-joker/3030-1238/,ESRB: E," <div> Overview : Batman Beyond: Return of the Joker (known in Europe as Batman of the Future: Return of the Joker and not to be confused with Batman: Return of the Joker) is a 3D superhero beat-'em-up developed by Kemco and published by Ubisoft for the Sony PlayStation and Nintendo 64 on December 13, 2000. It also received a handheld version (as a belt-scrolling beat-'em-up) on the Game Boy Color on November 20, 2000.The video game tie-in to the animated movie of the same name (which is based on the Batman Beyond animated series), Return of the Joker puts players as the futuristic Batman (superhero alter-ego of high-school student Terry McGinnis), as he investigates Neo-Gotham City for the whereabouts of The Joker, a resurfaced villain from the days of the original Batman (superhero alter-ego of Terry's mentor, Bruce Wayne) who plans to use a satellite laser to destroy the city. </div>  <div> Gameplay : The game plays like a traditional beat-em-up, as players play through five stages as Batman. Players can move him around with the analog stick, crouch with the Crouch button (C-Right on the N64), run with the Run button (L button on the N64), and jump with the Jump button (R button on the N64). He can attack using the Punch button (B button on the N64) and the Kick button (A button on the N64), and can block attacks using the Block button (Z button on the N64). Some of his abilities can be used with the Special button (C-Left on the N64). </div> "
Blade,HAL Laboratory,Activision,"December 8, 2000",gbc,3030-12785,Blade is an action shooter game based on the movie of the same name released on the Playstation and Game Boy Color.,12785,0,2000-11-23,https://www.giantbomb.com/blade/3030-12785/,ESRB: T," <div> Overview : Blade is a third-person shooter game developed by HAL (Game Boy Color version) and HammerHead (PlayStation version). Blade was published by Activision on both platforms. The game is played with tank controls scheme throughout self-contained levels with an extensive arsenal to shoot out enemies including a pistol, shotgun, machine pistol, and a silver nitrate shotgun. </div> "
Blaster Master: Enemy Below,Sunsoft,Sunsoft,"October 27, 2000",gbc,3030-10374,An action-adventure game for the Game Boy Color.,10374,0,2000-09-30,https://www.giantbomb.com/blaster-master-enemy-below/3030-10374/,ESRB: E, <div> Overview : Blaster Master: Enemy Below is an action game developed and published by SunSoft for the Game Boy Color platform. Blaster Master: Enemy Below is a sequel in the Blaster Master series that started on the NES.The game was released on the 3DS Virtual Console in late 2011 and was only the second Game Boy Color game on the service (following The Legend of Zelda: Link's Awakening DX). </div> 
Blue's Clues: Blue's Alphabet Book,Vicarious Visions,Mattel Interactive,,gbc,3030-36429,Blue's Clues: Blue's Alphabet Book is an educational game for the Game Boy Color.,36429,0,2001-01-30,https://www.giantbomb.com/blues-clues-blues-alphabet-book/3030-36429/,ESRB: EC, <div> Overview : Blue's Clues: Blue's Alphabet Book is an educational game developed by Vicarious Visions and published by Mattel Interactive for the Game Boy Color platform. </div>  <div> Gameplay : In Blue's Clues: Blue's Alphabet Book the goal is to collect all of the clues to figure out the answer to the riddle.The game contains six different mini-games. Upon completion of each game the player will be presented with a clue marked by one of Blue's pawprints. Each of the mini games can be played in an unlimited manner by selecting them rather than Blue's book.The six mini-games are: </div> 
Bob the Builder: Fix it Fun!,Tiertex,BBC Multimedia EUTHQ NA,"November 10, 2000",gbc,3030-36442,Bob the Builder: Fix it Fun! is a game for the Game Boy Color.,36442,0,,https://www.giantbomb.com/bob-the-builder-fix-it-fun/3030-36442/,ESRB: E, <div> Overview : Bob the Builder: Fix it Fun! is a game developed by Tiertex Design Studios and published by THQ in the United States and BBC Multimedia in the UK for the Game Boy Color platform. </div>  <div> Gameplay : Bob the Builder is a side-scrolling platforming game. The game is broken into different missions or chores to complete. </div> 
Bomberman Max,Hudson Soft,Vatical EntertainmentHudson Soft JP,,gbc,3030-14198,"Bomberman and Max rush to save the Charaboms and defeat the supercomputer Brain in over 80 stages. Red Challenger allows you to play as Max, while Blue Champion allows you to play as Bomberman.",14198,0,2000-05-14,https://www.giantbomb.com/bomberman-max/3030-14198/,ESRB: E," <div> Overview : Bomberman Max is yet another entry into the Bomberman franchise by Hudson. The game comes in two versions, Red Challenger (Soldier of Darkness in Japan) and Blue Champion (Hero of Light in Japan). Each version of the game contains a different playable character, 20 exclusive stages, and different types of Charaboms. Charaboms, rather obvious copies of  Pokemon, appear for the first time (although a particular one appeared in  Bomberman 64: The Second Attack as Bomberman's sidekick). This game rather extensively uses the GBC's infrared capabilities. </div>  <div> Story : ""In the infinitely expanding universe...""...there are five planets. The fifth planet, Future Star, protects its neighbors. However, a mysterious cloud infects the planet's central computer, Brain; the machine, now bent on galactic domination, has transformed all of the lifeforms on the other four planets into cold machines. Dr. Ein calls on Bomberman and Max to save the Charaboms inhabiting each planet. Max decides to make this rescue into a competition, as Bomberman immediately takes off to the first planet. </div>  <div> Main Game : Each game has a total of 80 stages spread across five worlds. Each stage has a certain condition that must be fulfilled, such as ""before laying nine bombs, destroy all of X enemies"" or ""destroy all soft blocks."" When the objective is fulfilled, several exit portals appear, which warp the player to a different level. This continues until the player reaches a boss level (there are three for each world, each one featuring different difficulty). Once the boss is defeated, the player moves on the next planet.The mission objective ""Step on the Hidden Panel"" allows the player to play minigames by activating the panel, then sending an infrared signal through a device such as a TV remote.There are three different endings: one for if the player has less than 80% completion, one for completing every stage that doesn't require ""Pitch Area"" (80% completion), and one for clearing all 100 stages. </div>  <div> Battle Game : Replacing the classic Bomberman multiplayer formula is Charabom Battling. The player selects three battle plans (""attack"", ""special attack"" and ""defend"" arranged in different order) then sends their Charabom to the opponent via the infrared sensor. Both Charabom battle in rock-paper-scissors fashion until all three battle turns are finished, or until one Charabom is defeated. The winner receives the loser's Charabom. </div>  <div> Pitch Area : The Pitch Area feature allows players to ""send"" their exclusive stages to a friend's game via IR, so long as said stage has been completed by the sender. Using this feature, it is possible for a single game to contain every stage between the two games. </div>  <div> Misc. : In Japan, copies of a special version of the game (named Bomberman Max Ain) were given away in a contest. Other than several instances of product placement, the game is essentially Blue Champion with all 100 stages available from the start. </div> "
