Title,Developer,Publisher,Regions released North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
40 Winks,Eurocom,GT Interactive,"November 14, 1999",ps,Players enter into the world of dreams in this game aimed at young children.,3030-18694,18694,0,1999-11-14,https://www.giantbomb.com/40-winks/3030-18694/,," <div> Overview : A 3D platformer that primarily takes place within the world of the protagonists' dreams. The game was released in 1999 as a PlayStation exclusive; a Nintendo 64 version was in development, but was cancelled due to poor reception of the PlayStation release. In 2018, a Kickstarter campaign was launched by publisher Piko Interactive, hoping to release the game's Nintendo 64 and a PC port. The campaign saw success, seeing the game release via Steam on October 22, 2018, with Nintendo 64 cartridges of the game releasing to backers on April 15, 2019. </div>  <div> Story : In 40 winks players control either Ruff or Tumble, siblings who think bedtime is boring and are thrilled by action. Their mother tells them a story about Winks and explains that they are creatures that sleep all day and come out at night and provide dreams to people everywhere. As the title implies, there are 40 in the game and players must venture through various levels to rescue them all whilst fighting bosses and other fantasy creatures along the way. Players must search for these creatures because an evil character, named Nitekap, had difficulty sleeping and wanted to turn them into hood-winks. Hood-Winks are different to Winks as they are responsible for nightmares. Only 40 winks remain in the World of Dreams and Ruff and Tumble need to find them before they are turned into nightmare-bearing Hood-Winks. </div>  <div> Characters : Ruff is the main hero character of this game and is brother to Tumble. </div>  <div> Gameplay : Tumble is Ruff's sister and the female protagonist. </div> "
A-Train,Artdink,"MaxisNA, ArtdinkJP, SCEEPAL","June 5, 1996",ps,"Actually the third in Artdink's series of train and railroad simulators, A-Train saw multiple releases outside of Japan.",3030-54069,54069,0,1993-06-11,https://www.giantbomb.com/a-train/3030-54069/,CERO: A," <div> Overview : A-Train, or A-Ressha de Ikou 3 (""Let's Take the A-Train 3""), is the third game in Artdink's simulation series that tasks players with creating their own railroad conglomerate. Players can also use their railroads to build settlements by shipping in building materials in lieu of passengers, taking a hit in short-term profits for long-term gain as more passengers flock to the player's train service to access the budding settlement in question.A-Ressha de Ikou 3 was first developed in Japan for their native NEC PC-9801, FM Towns Marty, Sharp X68000, and PC Engine CD platforms in 1990 and 1991. The game would also see a version for the Super Famicom in 1995 dubbed ""Super Version"" and the computer version of the game would also be adapted for Windows 95 and 98 systems in 2000. Motivated by its tremendous sales in its home country, US developer Maxis and European publisher Ocean Software would bring a localized version of the game - named simply A-Train - to PC MS-DOS, Amiga and Mac systems in their respective regions in 1992. It was not the first A-Train game to see a release outside of Japan - A-Ressha de Ikou 2 was released in the US as Railroad Empire for PC - but it remains the most recognizable game in the series for international audiences. Maxis would then borrow the game's distinctive isometric city view for their subsequent project SimCity 2000. A-Train Construction Set, or A-III Map Construction in Japan, was an official expansion that allowed players to configure their saved maps or create new ones from scratch. It also included six sample maps. It was included in a package compilation for some European releases. </div>  <div> Gameplay : The goal of the game is to build a railroad company and make as much money as possible. To do this, the player can either choose to ferry passengers around for a lot of cash, or they can choose to ship building materials instead which can be used to build structures on the map to entice more passengers to use the trains to get there. These include houses and restaurants to larger projects like holiday resorts. The player can let the computer decide what to build with the resources available, or they can start a construction project for a building of their choice and the materials will automatically be allocated to the project. </div> "
Ace Combat 2,Namco,"NamcoJP,NA, SCEEPAL","August 15, 1997",ps,"Military Rebels have seized control of Unified Forces sector NA-P2700. Unified Forces has formed a tactical strike force, code named: Scarface.",3030-3605,3605,0,1997-08-15,https://www.giantbomb.com/ace-combat-2/3030-3605/,PEGI: 3+," <div> Aircrafts : A-4 SkyhawkF-4E Phantom IIMiG-21 FishbedKfir C.7A-6E IntruderF-16C Fighting FalconX-29AJ35J DrakenA-10A Thunderbolt IISu-25 FrogfootMiG-29A FulcrumF-14A TomcatTornado F.3F-117A NighthawkRafale MMiG-31 FoxhoundEF-2000 TyphoonJAS-39C GripenF/A-18E Super HornetSu-35 Super FlankerF-15S/MTDYF-23A Black Widow IIF-22A RaptorXFA-27 </div>  <div> Aces : The game features enemy ""aces"", or above-average skilled fighters. The players will be reward a medal by shooting them down in a mission, once all medal have obtained , they can be view in the Options Menu.Mission 2: Easy MoneyAce: 1F-4E Phantom II ""Superfly""Mission 4A: Tin CastleAce: 1MiG-29A Fulcrum ""Ricochet""Mission 4B: Opera HouseAce: 2Su-25 Frogfoot ""D-Cowboy""Mission 6A: Midnight AssassinAce: 2F-117A Nighthawk ""Razorback""Mission 6B: Bear TracksAce: 2F-117A Nighthawk ""Razorback""Mission 7: SledgehammerAce: 1F-14A Tomcat ""Z.O.E."" (Captain)Mission 9: SwordsmithAce: 2F-16C Fighting Falcon ""Tallman""F-16C Fighting Falcon ""Metal Sphere""Mission 10: Toy BoxAce: 1MiG-31 Foxhound ""Stalker""Mission 11: SeagullAce: 32 Rafale M ""Hangmen"" SquadronF/A-18E Super Hornet ""Z.O.E."" (Major)Mission 13: Power PlayAce: 1YF-22 Lightning II ""Z.O.E."" (Colonel)Mission 14A: El Dorado (Alphaville branch)Ace: 2Tornado F.3 ""Max""Tornado F.3 ""Goose""Mission 14B: Dark Star (Bellissima branch)Ace: 3EF-2000 Typhoon ""Death Rave 2000 Squadron""Missoin 15A: St. Elmo's Fire (Alphaville branch)Ace: 3F-15E Strike Eagle ""Xiao""F-15E Strike Eagle ""Jian""F-15E Strike Eagle ""Dao""Mission 15B: Dead End (Bellissima branch)Ace: 4YF-23A Black Widow II ""Fox Force Four""Mission 19: KingpinAce: 1F-15S/MTD ""Z.O.E."" (General)Mission 21: Fighter's HonorAce: 1ADF-01 Falken ZOE ""Z.O.E."" (Commander) </div>  <div> Soundtracks : In Ace Combat 2, it's was the first game to have huge leap for the Ace Combat series. The Rock/Electronic tunes were made specifically to raise the tension during gameplay and create a new gaming experiance. </div> "
Ace Combat 3: Electrosphere,Namco,"Namco, SCEEPAL","March 2, 2000",ps,The third installment in the Ace Combat flight simulator series which would become the standard for future Ace Combat games.,3030-20037,20037,0,1999-05-27,https://www.giantbomb.com/ace-combat-3-electrosphere/3030-20037/,ESRB: E," <div> Overview : By 1997, game developers were beginning to experiment and take advantage of the CD-based storage medium of the Playstation. Amongst those game developers was the team developing Ace Combat 3. Spanning two CDs, Ace Combat 3 includes a branching storyline with 5 different endings. It was also the first Ace Combat game to include characters with extensive voice acting, and with it, more wingmen giving the series its trademark sense of camaraderie.Unfortunately, due to development costs, most of these groundbreaking elements would be cut out of the international release of the game, cutting the game size down to one CD and opting for one singular path of the story, and the voice work and other characters all but removed. However, those efforts would not go unsung forever and would eventually be realized thanks to the efforts of Team NEMO, a fan translation team who translated and restored all the cut content for English-speaking audiences. </div>  <div> Missions : Mission 1: TransportExpo CityMission 2: InterferenceWaiapolo Mts.Mission 3: Joint ManeuversChopinburgMission: 4 MegafloatRocky Is.Mission 5: ScrambleWiapolo Mts.Mission 6: Target AcquisitionExpo CityMission: 7 Fragile CargoAxel BayMission 8: DemilitarizationRocky Is.Mission 9: Moonlight FlowerScofields Plat.Mission 10: MazeHatties Ra.Mission 11: EscortMt. LambertMission 12: StratosphereWhite Valley Mission 13: ClaustrophobiaAmber Mts.Mission 14: Reaching For The StarsComona Is.Mission 15: Guardian AngelComona Is.Mission 16: Zero GravityOuter SpaceMission 17: One-Way TicketSandbury Desert(?)Mission 18: Bug HuntChopinburg ForestMission 19: BlackbirdWhite Valley Air BaseMission 20: FjordPetrol CoastMission 21: CounterterrorismMegafloatMission 22: ECMExpo CityMission 23: SwarmMegafloatMission 24: Damage ControlPort EdwardsMission 25: ConspiracyExpo CityMission 26: InterceptEusian Ocean Mission 27: Plumber???Mission 28: PathfinderExpo CityMission 29: OuroborosPort EdwardsMission 30: Search and DestroyMegafloat Mission 31: Tunnel Vision??? Mission 32: Night Raven???Mission 33: Geofront AttackGeofrontMission 34: AuroraMegafloat RuinsMission 35: ElectrosphereMegafloat Ruins/ElectrosphereMission 36: Geopelia (Bonus mission)Port Edwards  </div>  <div> Aircraft : F-15S/MT EagleF-16XA SakerfalconF-16XF GyrFalconF-22C Raptor IIF/A-18I HornetF/A-18V Hornet ADVF/A-32C ErneMiG-33 Fulcrum SSR-101 Delphinus IEF-2000E Typhoon IIF-22C Raptor IIR-102 Delphinus IIR-103 Delphinus IIIR-201 AsterozoaR-211 OrcinusR-311 RemoraR-352 SepiaRF-12A2 Blackbird IISu-37 Super FlankerSu-43 BerkutUI-4054 AuroraX-49 Night RavenXR-900 Geopelia </div> "
Aces of the Air,Highwaystar,"D3 PublisherJP, AgetecNA","September 26, 2002",ps,Aces of the Air is a plane combat sim for PlayStation.,3030-45230,45230,0,2002-05-23,https://www.giantbomb.com/aces-of-the-air/3030-45230/,ESRB: E,
Action Bass,Vingt-et-un Systems,"Take 2 Interactive, SyscomJP","July 14, 2000",ps,The pulse-pounding white knuckle action of Bass Fishing is here!,3030-22908,22908,0,2000-07-27,https://www.giantbomb.com/action-bass/3030-22908/,ESRB: E,
Action Man: Operation Extreme,Blitz Games,Hasbro Interactive,"November 30, 2000",ps,Action Man: Operation Extreme (known as Action Man: Mission Xtreme in Europe) is an Action Man-themed game featuring both driving levels and third-person shooter levels.,3030-5628,5628,0,2000-11-30,https://www.giantbomb.com/action-man-operation-extreme/3030-5628/,ESRB: T," <div> Overview : Upon booting up the game players are met with Action Man's apartment which acts as the title menu of the game, from here players can access levels, cutscenes, options, character and item models, and more. There are six levels in the game, three vehicles levels and three shooter levels. Each vehicle level features a different type of vehicles; street, aerial or water. During the vehicle levels the view is top-down, gameplay is based around vehicular combat and players can return to their base to switch vehicles. The shooter levels consist of Action Man infiltrating one of Dr. X's bases; the desert base, the waterfront base and the ice base. During the shooter levels the view is isometric, players pick up various weapons and gadgets as they progress and such levels usually end with boss fights. In all levels Action Man's health or his vehicle's health is gauged by a health meter, he receives a number of different mission objectives as he progresses and when he or his vehicle point in the direction of enemies they lock onto them to allow for easier shooting. </div> "
Activision Classic Games for the Atari 2600,Gray Matter,Activision,"September 30, 1998",ps,"This creatively-titled anthology for the Playstation is a collection of games originally made for the Atari 2600 platform by Activision and are considered ""classic"".",3030-12688,12688,0,1998-09-30,https://www.giantbomb.com/a-collection-of-activision-classic-games-for-the-a/3030-12688/,ESRB: E,
Actua Golf,Gremlin Interactive,"Gremlin InteractivePAL, VR SportsNA, Naxat SoftJP","October 15, 1996",ps,One of the first fully 3D golf games made by the same team that gave us Actua Soccer.,3030-22287,22287,0,,https://www.giantbomb.com/vr-golf-97/3030-22287/,ESRB: E, <div> Overview : VR Golf '97 is a golf game developed by Gremlin Interactive for PlayStation and Saturn. The game was self published by Gremlin Interactive in the UK while it was published by Interplay Productions in the US and Naxat Soft in Japan. </div> 
Actua Golf 2,Gremlin Interactive,"Gremlin InteractivePAL, Fox InteractiveNA","June 30, 1998",ps,Improved and updated follow up to Actua Golf/VR Golf '97.,3030-22460,22460,0,,https://www.giantbomb.com/fox-sports-golf-99/3030-22460/,ESRB: E, <div> Overview : Fox Sports Golf '99 is a golf game developed by Gremlin Interactive. In the UK the game was self published by Gremlin Interactive under the title Actua Golf 2 while in the US it was published by Fox Interactive with the Fox Sports Golf '99 title. </div> 
Actua Soccer,Gremlin Interactive,"Gremlin InteractivePAL, Naxat SoftJP, InterplayNA","October 31, 1996",ps,One of the earliest polygonal soccer games on the market and the first game in the Actua Sports franchise. Published in the USA as VR Soccer '96 and in Germany as ranSoccer,3030-2305,2305,0,,https://www.giantbomb.com/vr-soccer-96/3030-2305/,,
Adidas Power Soccer,Psygnosis,Psygnosis,"August 31, 1996",ps,Reach for the goal in Psygnosis Limited's Soccer simulator in adidas Power Soccer for the Playstation and PC.,3030-4266,4266,0,1996-08-31,https://www.giantbomb.com/adidas-power-soccer/3030-4266/,,
Adidas Power Soccer 98,Shen,Psygnosis,"June 24, 1998",ps,The 1998 version of Psygnosis' soccer series.,3030-22152,22152,0,,https://www.giantbomb.com/adidas-power-soccer-98/3030-22152/,,
The Adventures of Lomax,Psygnosis,Psygnosis,"October 22, 1996",ps,Players control Lomax the Lemming as his attempts to rescue his friends and stop Evil Ed.,3030-18350,18350,0,,https://www.giantbomb.com/the-adventures-of-lomax/3030-18350/,," <div> Overview : The Adventures of Lomax is a platformer spin-off of the Lemmings series that was developed and published by Psygnosis for PC and PlayStation.Players take control of a lemming called Lomax; Lomax is tasked with saving his friends who were transformed into monsters by an evil doctor, Evil Ed. </div>  <div> Gameplay : Players have to stop Evil Ed using a magical helmet. Players can use some of the power-ups from Lemmings series including building and digging. When players defeat enemies, they will turn into a normal lemming. </div> "
Agile Warrior F-111X,Black Ops Entertainment,Virgin Interactive,"November 21, 1995",ps,,3030-20048,20048,0,1995-11-21,https://www.giantbomb.com/agile-warrior-f-111x/3030-20048/,ESRB: T,
Air Combat,"Namco, Arsys Software","Namco, SCEEPAL","September 9, 1995",ps,Take to the skies in this arcade flight shoot-em-up.,3030-6250,6250,0,,https://www.giantbomb.com/air-combat/3030-6250/,ESRB: K-A," <div> Gameplay : Air Combat is considered an arcade-style flight game since it has fast-paced distorted physics and planes can carry up to 65 missiles. You embark on various missions to destroy bases and enemy aircraft, depending on how well you do on each mission you earn money afterwords. Money can be used to buy better and more advanced aircraft throughout the game and better weapon load outs.The game had a variety of missions, all focusing on destroying certain airborne or ground targets to advance the game. When a mission was complete the player was graded on their performance and given a grade from A to F (A being the best, F being total failure of the primary objective). The grades were calculated on time, Secondary and Primary Objectives completed and Damage Sustained, the level of the grade would affect the bounty the player would receive after the completion of a mission. The players can choose any aircraft in Air Combat ranging from F-4 Phantoms to F-22 Stealth Fighter. Also, the player can select a wingman to accompany them during any mission. The players can ""instruct"" the wingman to perform one of these three actions:Cover MeCommence (Mission Objective)On Your Own (Fire At Will)As far as multiplayer, a two player split-screen ""vs. mode"" was offered in which 2 players could go head to head with each other in an all out dog fight. </div>  <div> Aircraft : F-4 Phantom IIF-14A TomcatF-117A NighthawkF/A-18C HornetMiG-31 FoxhoundTornado F.2F-15C EagleA-10A Thunderbolt IIMiG-29A FulcrumF-16C Fighting FalconYF-23A Black Widow IISu-27 FlankerRafale CJAS-39C GripenEF-2000 TyphoonF-22A Raptor  </div> "
Air Hockey,Mud Duck Productions,"SuccessJP, Midas Interactive EntertainmentPAL, Mud Duck ProductionsNA","September 10, 2003",ps,Touch-operated air hockey game for iOS. Both Apple Game Center and OpenFeint enabled.,3030-33647,33647,0,2008-08-27,https://www.giantbomb.com/air-hockey/3030-33647/,,
Akuji the Heartless,Crystal Dynamics,Eidos Interactive,"June 24, 1998",ps,A third-person action platformer game developed by Crystal Dynamics and released on the Sony Playstation in December 1998.,3030-2256,2256,0,1998-12-30,https://www.giantbomb.com/akuji-the-heartless/3030-2256/,BBFC: 15," <div> Overview : Akuji The Heartless is a 3rd person action platformer game developed by Crystal Dynamics for the PlayStation.The game tells the story of Akuji, a Voodoo priest who is murdered by his brother on his wedding day and cursed to spend eternity in hell. After being contacted by his late wife's soul and told about his brother's actions, Akuji sets out to collect the souls and artifacts of his ancestors to allow him passage out of the underworld.Shaft actor Richard Roundtree provided the voice for Akuji. Holds a Guinness World Record for being the earliest action-adventure video game to revolve around a black lead character. </div>  <div> Gameplay : Akuji The Heartless mixes influences of previous works from Crystal Dynamics such as Gex and also experiments with more adventure and combat elements. The game features full tridimensional environments to traverse and a variety of collectibles to get. Akuji is armed with wrist-mounted blades and has access to various spells and abilities throughout the game, gaining the power to transform into a panther and performing various moves such as climbing, swinging, rolling and crawling into and out of combat.The game featured an interesting world set in voodoo mythology and featured 14 levels, 4 bosses, multiple puzzles, and over 30 enemy types. </div> "
Alexi Lalas International Soccer,Z-Axis,"BMG InteractivePAL, Take-Two InteractivePAL,NA (Alexei Lalas, Golden Goal 98)","April 28, 1999",ps,A football game where players can manage the strategies and tactics of their team.,3030-59,59,0,,https://www.giantbomb.com/alexi-lalas-international-soccer/3030-59/,ESRB: E,
Alien: Resurrection,Argonaut Games,Fox Interactive,"October 10, 2000",ps,Alien Resurrection is a science fiction first person shooter based on the movie of the same name. It was generally considered a commercial failure and received mixed reviews from publications worldwide.,3030-17017,17017,0,2000-10-19,https://www.giantbomb.com/alien-resurrection/3030-17017/,CERO: 15+," <div> Overview : Alien Resurrection is a science fiction first person shooter that was released in 2000 on the  PlayStation. The game is based on the movie of the same name. Other versions of the game were planned for the  DreamCast, DOS, and  Nintendo 64, but were subsequently cancelled. </div> "
Alien Trilogy,Probe Entertainment,Acclaim Entertainment,"February 29, 1996",ps,Standard first person shooter set in the alien universe.,3030-7409,7409,0,1996-03-01,https://www.giantbomb.com/alien-trilogy/3030-7409/,ESRB: M,
All-Star 1997 featuring Frank Thomas,Acclaim Entertainment,Acclaim Entertainment,"July 10, 1997",ps,"All Star 97 features the ""Big Hurt"" Frank Thomas and for the first time includes the new franchises the Marlins and the Diamondbacks.",3030-45140,45140,0,,https://www.giantbomb.com/all-star-1997-featuring-frank-thomas/3030-45140/,,
All-Star Racing,Mud Duck Productions,Mud Duck Productions,"October 6, 2002",ps,A racing game using a different variety of vehicles. From stock to trucks what else could you want.,3030-30791,30791,0,2003-04-24,https://www.giantbomb.com/all-star-racing-2/3030-30791/,PEGI: 3+,
All-Star Racing 2,Mud Duck Productions,Mud Duck Productions,"April 24, 2003",ps,A racing game using a different variety of vehicles. From stock to trucks what else could you want.,3030-30791,30791,0,2003-04-24,https://www.giantbomb.com/all-star-racing-2/3030-30791/,PEGI: 3+,
All-Star Slammin' D-ballNA,Access,"D3JP, AgetecNA, Midas Interactive EntertainmentPAL","February 12, 2002",ps,Dodgeball gets a sprite-based makeover in this Simple series game for the PlayStation.,3030-47167,47167,0,2001-10-25,https://www.giantbomb.com/allstar-slammin-dball/3030-47167/,ESRB: E," <div> Overview : All-Star Slammin' D-Ball is a dodgeball game developed by Access co., ltd. for the PlayStation. It was originally published by D3 Publisher in Japan in 2001, and later released in North America by Agetec and Europe by Midas Interactive. </div> "
